end_day,alpha,beta,gamma,season,rss
-400,0.10180028263984285,0.00899734145344883,0.22080976440183017,23,0.06393334195635399
-380,0.10294915181566015,0.009222188586013947,0.22275705589033792,23,0.06557697226221092
-360,0.10185733094549294,0.009129085796952215,0.22657720264721687,23,0.06675005774804792
-340,0.09670054751008304,0.009148939954644546,0.2606636462575418,23,0.07149487697231523
-320,0.09777412512556233,0.008722590980054911,0.24742056103693047,23,0.0764526979318616
-300,0.09971264644239512,0.00886219418165488,0.2444976419696761,23,0.07775126459951458
-280,0.09218495197297842,0.026918265444230458,0.23243194212071103,23,0.09492382180594167
-260,0.09415045471905169,0.010057680006889808,0.24238497198922324,23,0.10223189164552776
-240,0.08835748614368726,0.009624437433565612,0.3401383866751504,22,0.10406120502087808
-220,0.09205577246296306,0.008413661404741715,0.3113954757000055,22,0.10866354235124694
-200,0.10050367703166344,0.00809269062028334,0.2060285912302811,22,0.11871552337735883
-180,0.05728254253559692,0.012603184696609942,0.6274866240256304,18,0.13236554986495758
-160,0.08882290247939968,0.008975787108929736,0.2745659360125089,21,0.1369031903453639
-140,0.09044460371895727,0.008776478643887718,0.24967503994174436,21,0.13872147336464835
-120,0.088585774095233,0.008990417239908458,0.26003006670878015,21,0.14035709007596844
-100,0.08659360480608984,0.00973420748400518,0.22350404295119458,20,0.15112556662573187
-80,0.0959990239098443,0.010086283513575317,0.13464179053354056,21,0.15885853680622797
-60,0.08673459269682061,0.008560804699347033,0.2434201917561243,21,0.17801554341691628
-40,0.08513224741942062,0.00893726548408967,0.2172430751705035,21,0.1927097426404751
-20,0.08815280741922082,0.009300929179581443,0.14419831915400144,21,0.1991410009816374
-1,0.08886213860307887,0.009219132193357932,0.12779597002425233,21,0.205515325210132
