end_day,alpha,beta,gamma,season,rss
-400,0.00592120595365843,0.5,0.21341527032292373,8,0.044241706301828006
-380,0.00567702305530678,0.5,0.19159139684989465,8,0.05404484411439285
-360,0.005586277983913856,0.5,0.19185304075355408,8,0.06332625817522633
-340,0.005607279983837262,0.5,0.19884387111072863,8,0.06666011246400849
-320,0.005572732034225102,0.5,0.1978710677164351,8,0.06958534140490676
-300,0.006801972225097304,0.5,0.26600040600298513,7,0.08366530492275859
-280,0.006602145302703381,0.5,0.2580575487250947,7,0.10327861213637507
-260,0.006738441534196961,0.5,0.29823700698519273,7,0.11742732839347127
-240,0.07973322549847923,0.04787684573128626,0.8290020062925815,17,0.12198960305259562
-220,0.00483967895145855,0.5,0.08729413913775091,9,0.1733489726442414
-200,0.09619582761759794,0.026795983746500166,0.012504802295636445,23,0.202816984870309
-180,0.11417606603406087,0.019308750677671398,0.04105888380739642,23,0.22881986342802882
-160,0.118506990683132,0.018877763619814164,0.0468369200559313,23,0.23084897012577635
-140,0.131347516341093,0.019441002926834552,0.07268222700194454,23,0.2454403548127404
-120,0.12832572788063476,0.01841217958991037,0.0870584470223317,23,0.26355851728571567
-100,0.12212289151586084,0.017702731416425855,0.07745244397794267,23,0.27396103537532407
-80,0.13035575148810216,0.016876911422179553,0.06971788313949598,23,0.3755634484431032
-60,0.134174340661446,0.028991134806834972,0.0731509686244432,23,0.39368114580447394
-40,0.1469463165099718,0.01162916861137048,0.09781868680094748,23,0.47592007836950456
-20,0.1429860474627435,0.010422251708719113,0.08479387263305158,23,0.5049843556699372
-1,0.14451221304659947,0.01034991319163866,0.08645732301781925,23,0.5091745856022688
