end_day,alpha,beta,gamma,season,rss
-400,0.07671557916631712,0.0032418794367343354,0.03935689536902942,24,0.05585693854103737
-380,0.08116937965748465,0.003298974609559946,0.04147163929547178,24,0.059807848002242106
-360,0.08098035700877441,0.0032930706630029463,0.040931433911334726,24,0.060000321489667635
-340,0.07867901976016468,0.0028585941250846253,0.04219103058962452,24,0.06664306926511235
-320,0.08609617971351988,0.0025059679823189107,0.03965809947157272,24,0.07105324340307288
-300,0.09129950397165489,0.0023811495526787872,0.03986009526067502,24,0.07282794439903784
-280,0.09845313749686545,0.002383098718341194,0.04041543674041075,24,0.07638884099048053
-260,0.09076565892838133,0.0022799929701473472,0.06565743338117522,23,0.08076111103420622
-240,0.08992962440628455,0.002307382058337838,0.07382578171062931,23,0.0834126258178681
-220,0.08944000511802092,0.002304933322450074,0.06492763389515188,23,0.0853563224878976
-200,0.09562312658727128,0.0022098801802121868,0.04158241731276433,24,0.09842605206598457
-180,0.02550711881965969,0.014331465408301772,0.6645522608961193,16,0.1363691925667178
-160,0.026936974820469996,0.016143239423384956,0.6112291804249873,15,0.14131744071679983
-140,0.030205783350289735,0.014391137703424971,0.5690980081674571,15,0.14287014986898738
-120,0.04627227958457705,0.011381747672713433,0.40191366666988165,16,0.14515578430809797
-100,0.05189991935860897,0.010572216498292117,0.3350379410128613,16,0.14710645208646977
-80,0.07461745141404927,0.007889455690767547,0.10853464853970837,21,0.14894977794849149
-60,0.07543858188721321,0.007257725415785924,0.11576712311748522,21,0.1511963690697502
-40,0.07507701862196817,0.007543180470762707,0.11211474123778281,21,0.15330352072389336
-20,0.07649710306833339,0.00801603681636726,0.10029574982584669,21,0.15935282928292732
-1,0.07814482427501136,0.008075735584793482,0.09253988059955517,21,0.16467445875656878
