end_day,alpha,beta,gamma,season,rss
-600,0.11758796002052024,0.003656047568187247,0.0088164182276059,19,0.016608611449572194
-580,0.12482360985994607,0.00401612016997247,0.09724681620875705,17,0.01743534467077267
-560,0.12163310721319295,0.004062894628629396,0.08752765661756622,17,0.01883900724457485
-540,0.12323726981773976,0.004763485014183568,0.08719191701699805,17,0.020284250588161648
-520,0.1207931260654572,0.004181283012578742,0.011336168749628336,19,0.022057400952997092
-500,0.12034173654695075,0.004391618315560566,0.09294763743938154,17,0.02334397502959456
-480,0.12191342849345085,0.004147225066746797,0.08847408521980005,17,0.02452684527679602
-460,0.12753024939372365,0.0035799961344386245,0.015390678550674455,19,0.02738686769787268
-440,0.12490125347381852,0.0036646084968842653,0.01875196360207134,19,0.028369822478413444
-420,0.1274272958002266,0.0035407500207474208,0.020552207464926395,19,0.02912607654199246
-400,0.12081262485867061,0.003762518992757523,0.0944642224937103,17,0.029699914500285626
-380,0.12601241592620935,0.0035343717151632174,0.02016365039565139,19,0.0307719505283924
-360,0.1176712455873387,0.0037530464761565967,0.09201203974169428,17,0.0320052590718423
-340,0.11730172803512316,0.00384663800416968,0.09128373554666423,17,0.0350576119610199
-320,0.11348097789899066,0.0036749745574080673,0.14293332014357427,24,0.03558365570812083
-300,0.11333930323805921,0.0036940763144682337,0.1375086793583643,24,0.03605615550897481
-280,0.11907236409427482,0.003904400603505201,0.01879482512728666,19,0.04136306677023509
-260,0.11395283836896224,0.003862783848527811,0.019278158954314735,19,0.04234769711219538
-240,0.10183247901828253,0.004040086688362098,0.1625837573262898,23,0.04311331938876115
-220,0.11325027366157454,0.003853455549021724,0.01999612893064703,19,0.0441370966704853
-200,0.10246994407814079,0.0038601471787214135,0.140105855411709,23,0.045540840060387375
-180,0.09304819501761587,0.004445888452099199,0.2019381058731924,23,0.05646290319912695
-160,0.10518088952148479,0.004118447246160952,0.017075583333333026,19,0.0576638061623667
-140,0.10358981242986491,0.00417627375341487,0.018985408001849436,19,0.05874171112511874
-120,0.10445666846826956,0.003989733661698122,0.01953667032668222,19,0.05973614658433114
-100,0.10378753684308975,0.004091583565668962,0.019472188817539468,19,0.06020092570394016
-80,0.1043127850167861,0.00426736255451913,0.01976328977084435,19,0.061578808013989364
-60,0.10249461886437833,0.004069997689154397,0.018612045233718556,19,0.06567955199367846
-40,0.09553147534299657,0.004514170489282594,0.06381087311776695,17,0.06769126601146669
-20,0.09873595518293946,0.004804032670641412,0.06446236717147256,17,0.0695734440837284
-1,0.10054287490136747,0.004817861938042755,0.05247113294377274,17,0.07040296942070942
