fundcode,status,final_params
011320,success,"{'alpha': 0.10458999563942188, 'beta': 0.003831969354559919, 'gamma': 0.10195514972307866, 'season': 17.0, 'rss': 0.09333737868466163}"
007280,success,"{'alpha': 0.09370074406477405, 'beta': 0.004727988096621142, 'gamma': 0.026980909498674478, 'season': 22.0, 'rss': 0.21025345176663157}"
005659,success,"{'alpha': 0.10165172119187446, 'beta': 0.0037552040775655593, 'gamma': 0.02797085471833137, 'season': 24.0, 'rss': 0.1588221882728918}"
021694,success,"{'alpha': 0.02659161337981486, 'beta': 0.02273472652655807, 'gamma': 0.18739158186345384, 'season': 14.0, 'rss': 0.005930482142698085}"
015016,success,"{'alpha': 0.04368401781163586, 'beta': 0.025886929704920906, 'gamma': 0.4207412868284885, 'season': 15.0, 'rss': 0.28455993051114786}"
