end_day,alpha,beta,gamma,season,rss
-600,0.1603499701642572,0.0069207326585444245,0.22963882738436822,16,0.08061103624472814
-580,0.15091699561990993,0.006919102078719535,0.22444730141201427,16,0.08494175023882128
-560,0.14935983843278944,0.006360588744392809,0.22469608684029221,16,0.08745325189947165
-540,0.12704745576632442,0.006649125567322849,0.27562451309417646,15,0.09002230298908491
-520,0.12632567780669013,0.006704546494541556,0.2894301429375662,15,0.09158189079831776
-500,0.12339928146172435,0.007161212279496348,0.2838617671264094,15,0.09356836081517399
-480,0.1403064262081143,0.006911892737179047,0.21901629808318074,16,0.09570255659230592
-460,0.14002233477158715,0.006645877039172172,0.23120223555977906,16,0.09856278949011246
-440,0.1174646135315733,0.007309848474108444,0.32431259420370734,15,0.10115101341939353
-420,0.11787299240297,0.007133123141551669,0.33272752392201543,15,0.10176072329187542
-400,0.13374672624426953,0.007194944365607112,0.2274168282798472,16,0.10469388106373974
-380,0.13180664987134882,0.007037894632793815,0.22381633601069234,16,0.10552808486990445
-360,0.11434849745006469,0.0073815315817662075,0.32784045668782924,15,0.10826584310701903
-340,0.1308878887443916,0.007168897730541642,0.22663838254344298,16,0.11707306745581705
-320,0.0974879748743951,0.008287132098794427,0.38647169035066087,14,0.12058072584176892
-300,0.10362119394645439,0.00801710806546469,0.3511438946428612,14,0.12231929351786912
-280,0.10382681587520828,0.008207807308050142,0.3780031628284651,14,0.12391693816504559
-260,0.10435318955075505,0.007908294391691863,0.36143480396761757,14,0.1253072184607058
-240,0.10687797200207659,0.007811693122392879,0.3361108128079227,14,0.1260724975195807
-220,0.10695850699470244,0.007816185882913216,0.3407632131369339,14,0.12671797642134836
-200,0.10728857681700484,0.007847140047576568,0.3371449833769743,14,0.12719225901499118
-180,0.10804262877914508,0.00823091129012577,0.34901806938552044,14,0.14826065229783358
-160,0.11154517591495065,0.008789095305225309,0.45057104348954735,14,0.1633845799747381
-140,0.11548066807152209,0.008091937702067653,0.3902868897759724,15,0.16971264746991926
-120,0.13507106932336027,0.007181774775685955,0.24906513603333633,16,0.17353192058538425
-100,0.13246670898463245,0.0074092324425247685,0.2409437716772892,16,0.17605315715037612
-80,0.13341478467005136,0.007466651419630368,0.24210200002487306,16,0.17692439855130618
-60,0.13113340205862287,0.007112223646238761,0.24101643866350028,16,0.18364380014870701
-40,0.1273050102965837,0.0072811528442585935,0.23428262880500078,16,0.18619336654207586
-20,0.1271011683568536,0.007365658992101857,0.23769721616550313,16,0.18971877006453283
-1,0.12796967471195014,0.0073232274025062365,0.23605371527929964,16,0.19066805680259855
