end_day,alpha,beta,gamma,season,rss
-600,0.06646719472457288,0.006459306293047121,0.03376644694364067,20,0.03246266586455769
-580,0.06794827530955504,0.006141794287973968,0.0001,24,0.03340517635652161
-560,0.06731504584749659,0.006222862106594966,0.035526553522803844,20,0.03472095188460049
-540,0.06802262142620279,0.006010629738383792,0.0001,23,0.03728878790178432
-520,0.07060900417211119,0.005754297405342479,0.0001,23,0.042361060617658035
-500,0.086833965920905,0.0050995835149705345,0.0001,23,0.053875862676840344
-480,0.09001412176596475,0.00545338471201582,0.0570762579686767,16,0.05810853532824274
-460,0.0901985794731435,0.005195524162933007,0.05161487851273581,20,0.06157926466282183
-440,0.09093795602424132,0.004946473780827933,0.0001,23,0.06773765137692586
-420,0.09242774845375959,0.005266112867538843,0.048510329757685405,20,0.07642334033749792
-400,0.0955156059309939,0.0050653360720108636,0.0034467731277466923,23,0.08297024371275423
-380,0.09445861105625798,0.005016665202390964,0.0019977957317889833,23,0.08389762816040583
-360,0.09794010320151172,0.004836539625866697,0.0026834162234157474,23,0.0876462443506228
-340,0.10157768978689534,0.004757497248837455,0.004267714835584144,23,0.08899762510409498
-320,0.10426286296706096,0.0046903092533607865,0.006951952180254616,23,0.09154890527310332
-300,0.09658327270507702,0.004993944168579681,0.05267789211168731,20,0.09553514563875315
-280,0.09488630673193253,0.005018015638827188,0.05959862109892834,20,0.09983132896277175
-260,0.09619141404945263,0.0050172472291938105,0.05624727834337503,20,0.10077010309699927
-240,0.09802850111616043,0.004693100490191355,0.00200731095638101,23,0.10865974869881809
-220,0.0926416107184248,0.004785068234619003,0.006138448100725327,23,0.11784926391987927
-200,0.09436216115018012,0.004777860502705078,0.018642643678341175,23,0.135905465543287
-180,0.09573232179632704,0.004768776205715702,0.022374560830172415,23,0.1411239580988142
-160,0.09596995557770449,0.00477498487314453,0.02601569896152943,23,0.1450127323788677
-140,0.09483816913838926,0.004764650227769846,0.019539779634173728,23,0.1526882617871523
-120,0.09008887288861823,0.005030443633092561,0.041201198143623136,20,0.1594106864983559
-100,0.08904602693025031,0.005025717632311837,0.03880001318105791,20,0.16156765203015838
-80,0.08886239165089166,0.005032541886031815,0.0403083714967992,20,0.16216295241104756
-60,0.09143047124031366,0.00490714098576513,0.023159939506600873,22,0.18641343832954455
-40,0.08046612046359343,0.005366871639570348,0.058374804091403054,16,0.1996088490288691
-20,0.09228138616360783,0.004741640389112059,0.025984673189401696,22,0.20824020690067885
-1,0.09370074406477405,0.004727988096621142,0.026980909498674478,22,0.21025345176663157
