end_day,alpha,beta,gamma,season,rss
-400,0.1627798502188416,0.005374034789640262,0.024935236599652928,18,0.4107723217910647
-380,0.1619019536572143,0.005371168106656618,0.025616945963063797,18,0.41240836521269675
-360,0.1623413999037586,0.005432287931068868,0.02756241866007905,18,0.4232481174757655
-340,0.16379845989258568,0.005486583877952211,0.028049995573285788,18,0.4418291584777285
-320,0.1466720915340432,0.005381957298611318,0.027475281211739633,18,0.48236768688681897
-300,0.14801660716551218,0.005363707533977394,0.027775590171300896,18,0.48406934910707855
-280,0.14871256285806578,0.005343269854482738,0.027752247677647543,18,0.4879014604522618
-260,0.14886734609264027,0.0053456355869445785,0.02742473006827906,18,0.4895166591305171
-240,0.14927316717039976,0.005339922931640328,0.027827048729682013,18,0.4917825291329224
-220,0.1475491857918513,0.005355747213469498,0.029392700349814463,18,0.49717092932434126
-200,0.14777445594309563,0.005354713614628536,0.028632183192161265,18,0.49919512191117016
-180,0.1360069623221463,0.005392531359673481,0.031411134043546285,18,0.6102093214358482
-160,0.142039000560383,0.005293757762996456,0.036136129068783,20,0.6238995833438221
-140,0.14159791169823202,0.005289079513629738,0.036910728463373565,20,0.6319550611085685
-120,0.14224067366654464,0.005252548740402491,0.03730452866894973,20,0.6345060100936717
-100,0.13953654661056736,0.00532901507711165,0.03604609168882043,20,0.6464815942392097
-80,0.14223123954702116,0.005354998612793308,0.03731641738197263,20,0.652496642870938
-60,0.1408886987893274,0.0053189833352682925,0.03929132198180317,20,0.6648249724859898
-40,0.13940881531748173,0.005441194535976625,0.04033248079232766,20,0.6874868354503099
-20,0.1408996924366588,0.005477209944942641,0.04034695827317077,20,0.691558816823914
-1,0.14085811570689552,0.005456168714433313,0.04038931982623842,20,0.6937190326547924
