净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2025-07-08,2.0627,2.0627,0.32%,暂停申购,开放赎回,
2025-07-07,2.0562,2.0562,1.18%,暂停申购,开放赎回,
2025-07-04,2.0323,2.0323,-0.83%,暂停申购,开放赎回,
2025-07-03,2.0494,2.0494,0.57%,暂停申购,开放赎回,
2025-07-02,2.0377,2.0377,0.60%,暂停申购,开放赎回,
2025-07-01,2.0255,2.0255,-0.60%,暂停申购,开放赎回,
2025-06-30,2.0378,2.0378,-0.22%,暂停申购,开放赎回,
2025-06-27,2.0422,2.0422,1.70%,暂停申购,开放赎回,
2025-06-26,2.0081,2.0081,0.99%,暂停申购,开放赎回,
2025-06-25,1.9884,1.9884,-0.44%,暂停申购,开放赎回,
2025-06-24,1.9972,1.9972,2.15%,暂停申购,开放赎回,
2025-06-23,1.9551,1.9551,-0.43%,暂停申购,开放赎回,
2025-06-20,1.9635,1.9635,1.40%,暂停申购,开放赎回,
2025-06-19,1.9363,1.9363,-1.21%,暂停申购,开放赎回,
2025-06-18,1.9601,1.9601,-0.86%,暂停申购,开放赎回,
2025-06-17,1.9772,1.9772,-0.97%,暂停申购,开放赎回,
2025-06-16,1.9965,1.9965,0.48%,暂停申购,开放赎回,
2025-06-13,1.9870,1.9870,-0.44%,暂停申购,开放赎回,
2025-06-12,1.9958,1.9958,-0.16%,暂停申购,开放赎回,
2025-06-11,1.9989,1.9989,-0.15%,暂停申购,开放赎回,
2025-06-10,2.0019,2.0019,-0.59%,暂停申购,开放赎回,
2025-06-09,2.0137,2.0137,-0.70%,暂停申购,开放赎回,
2025-06-06,2.0278,2.0278,0.06%,暂停申购,开放赎回,
2025-06-05,2.0266,2.0266,0.41%,暂停申购,开放赎回,
2025-06-04,2.0184,2.0184,0.36%,暂停申购,开放赎回,
2025-06-03,2.0111,2.0111,0.95%,暂停申购,开放赎回,
2025-05-30,1.9922,1.9922,0.89%,暂停申购,开放赎回,
2025-05-29,1.9746,1.9746,-1.00%,暂停申购,开放赎回,
2025-05-28,1.9946,1.9946,-1.06%,暂停申购,开放赎回,
2025-05-27,2.0160,2.0160,0.99%,暂停申购,开放赎回,
2025-05-26,1.9962,1.9962,2.09%,暂停申购,开放赎回,
2025-05-23,1.9553,1.9553,-1.69%,暂停申购,开放赎回,
2025-05-22,1.9890,1.9890,-0.27%,暂停申购,开放赎回,
2025-05-21,1.9943,1.9943,0.85%,暂停申购,开放赎回,
2025-05-20,1.9774,1.9774,0.69%,暂停申购,开放赎回,
2025-05-19,1.9639,1.9639,0.64%,暂停申购,开放赎回,
2025-05-16,1.9514,1.9514,0.23%,暂停申购,开放赎回,
2025-05-15,1.9469,1.9469,0.83%,暂停申购,开放赎回,
2025-05-14,1.9308,1.9308,-0.09%,暂停申购,开放赎回,
2025-05-13,1.9325,1.9325,-0.89%,暂停申购,开放赎回,
2025-05-12,1.9499,1.9499,0.29%,暂停申购,开放赎回,
2025-05-09,1.9442,1.9442,-0.03%,暂停申购,开放赎回,
2025-05-08,1.9448,1.9448,0.85%,暂停申购,开放赎回,
2025-05-07,1.9284,1.9284,-0.40%,暂停申购,开放赎回,
2025-05-06,1.9362,1.9362,2.18%,暂停申购,开放赎回,
2025-04-30,1.8949,1.8949,0.15%,暂停申购,开放赎回,
2025-04-29,1.8920,1.8920,0.88%,暂停申购,开放赎回,
2025-04-28,1.8755,1.8755,-0.05%,暂停申购,开放赎回,
2025-04-25,1.8765,1.8765,0.85%,暂停申购,开放赎回,
2025-04-24,1.8607,1.8607,0.05%,暂停申购,开放赎回,
2025-04-23,1.8598,1.8598,1.93%,暂停申购,开放赎回,
2025-04-22,1.8246,1.8246,0.90%,暂停申购,开放赎回,
2025-04-21,1.8084,1.8084,0.51%,暂停申购,暂停赎回,
2025-04-18,1.7993,1.7993,-0.16%,暂停申购,暂停赎回,
2025-04-17,1.8022,1.8022,0.55%,暂停申购,开放赎回,
2025-04-16,1.7924,1.7924,-0.05%,暂停申购,开放赎回,
2025-04-15,1.7933,1.7933,1.18%,暂停申购,开放赎回,
2025-04-14,1.7724,1.7724,3.68%,暂停申购,开放赎回,
2025-04-11,1.7095,1.7095,1.24%,暂停申购,开放赎回,
2025-04-10,1.6885,1.6885,4.18%,暂停申购,开放赎回,
2025-04-09,1.6207,1.6207,-2.42%,暂停申购,开放赎回,
2025-04-08,1.6609,1.6609,2.22%,暂停申购,开放赎回,
2025-04-07,1.6249,1.6249,-7.52%,暂停申购,开放赎回,
2025-04-03,1.7571,1.7571,-2.19%,暂停申购,开放赎回,
2025-04-02,1.7965,1.7965,-0.73%,暂停申购,开放赎回,
2025-04-01,1.8098,1.8098,1.56%,暂停申购,开放赎回,
2025-03-31,1.7820,1.7820,-1.02%,暂停申购,开放赎回,
2025-03-28,1.8003,1.8003,-0.60%,暂停申购,开放赎回,
2025-03-27,1.8111,1.8111,-0.91%,暂停申购,开放赎回,
2025-03-26,1.8278,1.8278,-1.25%,暂停申购,开放赎回,
2025-03-25,1.8509,1.8509,0.89%,暂停申购,开放赎回,
2025-03-24,1.8345,1.8345,-0.43%,暂停申购,开放赎回,
2025-03-21,1.8424,1.8424,-0.68%,暂停申购,开放赎回,
2025-03-20,1.8551,1.8551,-1.39%,暂停申购,开放赎回,
2025-03-19,1.8812,1.8812,-0.15%,暂停申购,开放赎回,
2025-03-18,1.8841,1.8841,1.21%,暂停申购,开放赎回,
2025-03-17,1.8616,1.8616,0.75%,暂停申购,开放赎回,
2025-03-14,1.8477,1.8477,1.57%,暂停申购,开放赎回,
2025-03-13,1.8192,1.8192,-0.60%,暂停申购,开放赎回,
2025-03-12,1.8301,1.8301,1.86%,暂停申购,开放赎回,
2025-03-11,1.7967,1.7967,-1.20%,暂停申购,开放赎回,
2025-03-10,1.8186,1.8186,-1.04%,暂停申购,开放赎回,
2025-03-07,1.8377,1.8377,-1.63%,暂停申购,开放赎回,
2025-03-06,1.8682,1.8682,2.78%,暂停申购,开放赎回,
2025-03-05,1.8176,1.8176,4.34%,暂停申购,开放赎回,
