,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2025-06-16,0.7457,0.7457,0.01%,开放申购,开放赎回,
1,2025-06-13,0.7456,0.7456,-1.00%,开放申购,开放赎回,
2,2025-06-12,0.7531,0.7531,0.45%,开放申购,开放赎回,
3,2025-06-11,0.7497,0.7497,1.15%,开放申购,开放赎回,
4,2025-06-10,0.7412,0.7412,0.05%,开放申购,开放赎回,
5,2025-06-09,0.7408,0.7408,0.95%,开放申购,开放赎回,
6,2025-06-06,0.7338,0.7338,-1.20%,开放申购,开放赎回,
7,2025-06-05,0.7427,0.7427,-1.34%,开放申购,开放赎回,
8,2025-06-04,0.7528,0.7528,3.14%,开放申购,开放赎回,
9,2025-06-03,0.7299,0.7299,2.04%,开放申购,开放赎回,
10,2025-05-30,0.7153,0.7153,0.00%,开放申购,开放赎回,
11,2025-05-29,0.7153,0.7153,0.72%,开放申购,开放赎回,
12,2025-05-28,0.7102,0.7102,-0.10%,开放申购,开放赎回,
13,2025-05-27,0.7109,0.7109,1.18%,开放申购,开放赎回,
14,2025-05-26,0.7026,0.7026,-0.06%,开放申购,开放赎回,
15,2025-05-23,0.7030,0.7030,-0.78%,开放申购,开放赎回,
16,2025-05-22,0.7085,0.7085,0.37%,开放申购,开放赎回,
17,2025-05-21,0.7059,0.7059,0.90%,开放申购,开放赎回,
18,2025-05-20,0.6996,0.6996,3.66%,开放申购,开放赎回,
19,2025-05-19,0.6749,0.6749,1.17%,开放申购,开放赎回,
20,2025-05-16,0.6671,0.6671,0.68%,开放申购,开放赎回,
21,2025-05-15,0.6626,0.6626,-0.05%,开放申购,开放赎回,
22,2025-05-14,0.6629,0.6629,0.87%,开放申购,开放赎回,
23,2025-05-13,0.6572,0.6572,0.03%,开放申购,开放赎回,
24,2025-05-12,0.6570,0.6570,-0.12%,开放申购,开放赎回,
25,2025-05-09,0.6578,0.6578,1.67%,开放申购,开放赎回,
26,2025-05-08,0.6470,0.6470,-0.54%,开放申购,开放赎回,
