,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2025-07-08,0.5139,0.5139,0.96,开放申购,开放赎回,
1,2025-07-07,0.509,0.509,1.64,开放申购,开放赎回,
2,2025-07-04,0.5008,0.5008,-0.46,开放申购,开放赎回,
3,2025-07-03,0.5031,0.5031,-0.14,开放申购,开放赎回,
4,2025-07-02,0.5038,0.5038,0.52,开放申购,开放赎回,
5,2025-07-01,0.5012,0.5012,-0.48,开放申购,开放赎回,
6,2025-06-30,0.5036,0.5036,0.5,开放申购,开放赎回,
7,2025-06-27,0.5011,0.5011,0.2,开放申购,开放赎回,
8,2025-06-26,0.5001,0.5001,-0.36,开放申购,开放赎回,
9,2025-06-25,0.5019,0.5019,1.56,开放申购,开放赎回,
10,2025-06-24,0.4942,0.4942,1.15,开放申购,开放赎回,
11,2025-06-23,0.4886,0.4886,0.49,开放申购,开放赎回,
12,2025-06-20,0.4862,0.4862,-0.1,开放申购,开放赎回,
13,2025-06-19,0.4867,0.4867,-1.82,开放申购,开放赎回,
14,2025-06-18,0.4957,0.4957,-1.22,开放申购,开放赎回,
15,2025-06-17,0.5018,0.5018,-0.3,开放申购,开放赎回,
16,2025-06-16,0.5033,0.5033,1.88,开放申购,开放赎回,
17,2025-06-13,0.494,0.494,-1.52,开放申购,开放赎回,
18,2025-06-12,0.5016,0.5016,-0.52,开放申购,开放赎回,
19,2025-06-11,0.5042,0.5042,0.54,开放申购,开放赎回,
20,2025-06-10,0.5015,0.5015,-0.4,开放申购,开放赎回,
21,2025-06-09,0.5035,0.5035,0.24,开放申购,开放赎回,
22,2025-06-06,0.5023,0.5023,-0.02,开放申购,开放赎回,
23,2025-06-05,0.5024,0.5024,0.06,开放申购,开放赎回,
24,2025-06-04,0.5021,0.5021,1.01,开放申购,开放赎回,
25,2025-06-03,0.4971,0.4971,-0.24,开放申购,开放赎回,
26,2025-05-30,0.4983,0.4983,-0.1,开放申购,开放赎回,
27,2025-05-29,0.4988,0.4988,0.99,开放申购,开放赎回,
28,2025-05-28,0.4939,0.4939,-0.54,开放申购,开放赎回,
29,2025-05-27,0.4966,0.4966,0.53,开放申购,开放赎回,
30,2025-05-26,0.494,0.494,0.26,开放申购,开放赎回,
31,2025-05-23,0.4927,0.4927,-1.1,开放申购,开放赎回,
32,2025-05-22,0.4982,0.4982,-1.29,开放申购,开放赎回,
33,2025-05-21,0.5047,0.5047,-0.73,开放申购,开放赎回,
34,2025-05-20,0.5084,0.5084,-0.14,开放申购,开放赎回,
35,2025-05-19,0.5091,0.5091,1.47,开放申购,开放赎回,
36,2025-05-16,0.5017,0.5017,0.0,开放申购,开放赎回,
37,2025-05-15,0.5017,0.5017,-1.16,开放申购,开放赎回,
38,2025-05-14,0.5076,0.5076,0.51,开放申购,开放赎回,
39,2025-05-13,0.505,0.505,-0.37,开放申购,开放赎回,
40,2025-05-12,0.5069,0.5069,0.58,开放申购,开放赎回,
41,2025-05-09,0.504,0.504,-1.62,开放申购,开放赎回,
42,2025-05-08,0.5123,0.5123,-0.27,开放申购,开放赎回,
43,2025-05-07,0.5137,0.5137,0.96,开放申购,开放赎回,
44,2025-05-06,0.5088,0.5088,1.05,开放申购,开放赎回,
45,2025-04-30,0.5035,0.5035,0.36,开放申购,开放赎回,
46,2025-04-29,0.5017,0.5017,0.1,开放申购,开放赎回,
47,2025-04-28,0.5012,0.5012,-3.54,开放申购,开放赎回,
48,2025-04-25,0.5196,0.5196,-0.56,开放申购,开放赎回,
49,2025-04-24,0.5225,0.5225,0.25,开放申购,开放赎回,
50,2025-04-23,0.5212,0.5212,-1.57,开放申购,开放赎回,
51,2025-04-22,0.5295,0.5295,0.72,开放申购,开放赎回,
52,2025-04-21,0.5257,0.5257,-0.45,开放申购,开放赎回,
53,2025-04-18,0.5281,0.5281,1.68,开放申购,开放赎回,
54,2025-04-17,0.5194,0.5194,2.18,开放申购,开放赎回,
55,2025-04-16,0.5083,0.5083,0.3,开放申购,开放赎回,
56,2025-04-15,0.5068,0.5068,-0.96,开放申购,开放赎回,
57,2025-04-14,0.5117,0.5117,0.25,开放申购,开放赎回,
58,2025-04-11,0.5104,0.5104,-1.09,开放申购,开放赎回,
59,2025-04-10,0.516,0.516,2.16,开放申购,开放赎回,
60,2025-04-09,0.5051,0.5051,4.38,开放申购,开放赎回,
61,2025-04-08,0.4839,0.4839,2.43,开放申购,开放赎回,
62,2025-04-07,0.4724,0.4724,-8.49,开放申购,开放赎回,
63,2025-04-03,0.5162,0.5162,1.04,开放申购,开放赎回,
64,2025-04-02,0.5109,0.5109,-0.27,开放申购,开放赎回,
65,2025-04-01,0.5123,0.5123,0.29,开放申购,开放赎回,
66,2025-03-31,0.5108,0.5108,-1.71,开放申购,开放赎回,
67,2025-03-28,0.5197,0.5197,-0.4,开放申购,开放赎回,
68,2025-03-27,0.5218,0.5218,-0.06,开放申购,开放赎回,
69,2025-03-26,0.5221,0.5221,0.66,开放申购,开放赎回,
