,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2025-06-16,1.6588,1.6588,1.36%,开放申购,开放赎回,
1,2025-06-13,1.6365,1.6365,-0.64%,开放申购,开放赎回,
2,2025-06-12,1.6470,1.6470,-0.21%,开放申购,开放赎回,
3,2025-06-11,1.6504,1.6504,2.00%,开放申购,开放赎回,
4,2025-06-10,1.6181,1.6181,0.70%,开放申购,开放赎回,
5,2025-06-09,1.6068,1.6068,1.60%,开放申购,开放赎回,
6,2025-06-06,1.5815,1.5815,-0.51%,开放申购,开放赎回,
7,2025-06-05,1.5896,1.5896,1.08%,开放申购,开放赎回,
8,2025-06-04,1.5726,1.5726,0.27%,开放申购,开放赎回,
9,2025-06-03,1.5684,1.5684,1.48%,开放申购,开放赎回,
10,2025-05-30,1.5456,1.5456,-0.74%,开放申购,开放赎回,
11,2025-05-29,1.5572,1.5572,0.76%,开放申购,开放赎回,
12,2025-05-28,1.5455,1.5455,-0.08%,开放申购,开放赎回,
13,2025-05-27,1.5468,1.5468,0.28%,开放申购,开放赎回,
14,2025-05-26,1.5425,1.5425,-0.58%,开放申购,开放赎回,
15,2025-05-23,1.5515,1.5515,0.28%,开放申购,开放赎回,
16,2025-05-22,1.5471,1.5471,-0.21%,开放申购,开放赎回,
17,2025-05-21,1.5503,1.5503,0.32%,开放申购,开放赎回,
18,2025-05-20,1.5454,1.5454,0.86%,开放申购,开放赎回,
19,2025-05-19,1.5322,1.5322,-0.80%,开放申购,开放赎回,
20,2025-05-16,1.5445,1.5445,-0.62%,开放申购,开放赎回,
21,2025-05-15,1.5542,1.5542,-0.81%,开放申购,开放赎回,
22,2025-05-14,1.5669,1.5669,2.41%,开放申购,开放赎回,
23,2025-05-13,1.5301,1.5301,-0.40%,开放申购,开放赎回,
24,2025-05-12,1.5362,1.5362,2.18%,开放申购,开放赎回,
25,2025-05-09,1.5034,1.5034,0.23%,开放申购,开放赎回,
26,2025-05-08,1.5000,1.5000,0.76%,开放申购,开放赎回,
27,2025-05-07,1.4887,1.4887,0.77%,开放申购,开放赎回,
28,2025-05-06,1.4773,1.4773,1.07%,开放申购,开放赎回,
29,2025-04-30,1.4616,1.4616,-1.00%,开放申购,开放赎回,
30,2025-04-29,1.4764,1.4764,-0.45%,开放申购,开放赎回,
31,2025-04-28,1.4830,1.4830,0.52%,开放申购,开放赎回,
32,2025-04-25,1.4754,1.4754,0.18%,开放申购,开放赎回,
33,2025-04-24,1.4727,1.4727,0.12%,开放申购,开放赎回,
34,2025-04-23,1.4709,1.4709,0.92%,开放申购,开放赎回,
35,2025-04-22,1.4575,1.4575,1.00%,开放申购,开放赎回,
36,2025-04-21,1.4431,1.4431,-0.01%,暂停申购,暂停赎回,
37,2025-04-18,1.4432,1.4432,-0.06%,暂停申购,暂停赎回,
38,2025-04-17,1.4441,1.4441,0.84%,开放申购,开放赎回,
39,2025-04-16,1.4321,1.4321,-1.15%,开放申购,开放赎回,
40,2025-04-15,1.4488,1.4488,0.35%,开放申购,开放赎回,
41,2025-04-14,1.4437,1.4437,1.97%,开放申购,开放赎回,
42,2025-04-11,1.4158,1.4158,2.44%,开放申购,开放赎回,
43,2025-04-10,1.3821,1.3821,1.34%,开放申购,开放赎回,
44,2025-04-09,1.3638,1.3638,0.39%,开放申购,开放赎回,
45,2025-04-08,1.3585,1.3585,0.83%,开放申购,开放赎回,
46,2025-04-07,1.3473,1.3473,-9.94%,开放申购,开放赎回,
47,2025-04-03,1.4960,1.4960,-1.05%,开放申购,开放赎回,
48,2025-04-02,1.5119,1.5119,0.81%,开放申购,开放赎回,
49,2025-04-01,1.4997,1.4997,0.27%,开放申购,开放赎回,
50,2025-03-31,1.4957,1.4957,0.25%,开放申购,开放赎回,
51,2025-03-28,1.4919,1.4919,-0.79%,开放申购,开放赎回,
52,2025-03-27,1.5038,1.5038,-0.28%,开放申购,开放赎回,
53,2025-03-26,1.5080,1.5080,-0.67%,开放申购,开放赎回,
54,2025-03-25,1.5182,1.5182,-1.47%,开放申购,开放赎回,
55,2025-03-24,1.5408,1.5408,1.11%,开放申购,开放赎回,
56,2025-03-21,1.5239,1.5239,-1.28%,开放申购,开放赎回,
57,2025-03-20,1.5437,1.5437,-1.99%,开放申购,开放赎回,
58,2025-03-19,1.5751,1.5751,0.22%,开放申购,开放赎回,
59,2025-03-18,1.5717,1.5717,1.52%,开放申购,开放赎回,
60,2025-03-17,1.5482,1.5482,0.48%,开放申购,开放赎回,
61,2025-03-14,1.5408,1.5408,2.71%,开放申购,开放赎回,
