,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2025-07-08,0.8342,0.8342,0.17,开放申购,开放赎回,
1,2025-07-07,0.8328,0.8328,-0.11,开放申购,开放赎回,
2,2025-07-04,0.8337,0.8337,0.13,开放申购,开放赎回,
3,2025-07-03,0.8326,0.8326,0.57,开放申购,开放赎回,
4,2025-07-02,0.8279,0.8279,0.69,开放申购,开放赎回,
5,2025-07-01,0.8222,0.8222,0.5,开放申购,开放赎回,
6,2025-06-30,0.8181,0.8181,0.22,开放申购,开放赎回,
7,2025-06-27,0.8163,0.8163,0.16,开放申购,开放赎回,
8,2025-06-26,0.815,0.815,-0.45,开放申购,开放赎回,
9,2025-06-25,0.8187,0.8187,0.23,开放申购,开放赎回,
10,2025-06-24,0.8168,0.8168,0.94,开放申购,开放赎回,
11,2025-06-23,0.8092,0.8092,0.11,开放申购,开放赎回,
12,2025-06-20,0.8083,0.8083,-0.04,开放申购,开放赎回,
13,2025-06-19,0.8086,0.8086,-0.92,开放申购,开放赎回,
14,2025-06-18,0.8161,0.8161,-0.93,开放申购,开放赎回,
15,2025-06-17,0.8238,0.8238,-0.04,开放申购,开放赎回,
16,2025-06-16,0.8241,0.8241,-0.77,开放申购,开放赎回,
17,2025-06-13,0.8305,0.8305,-0.79,开放申购,开放赎回,
18,2025-06-12,0.8371,0.8371,-0.9,开放申购,开放赎回,
19,2025-06-11,0.8447,0.8447,1.6,开放申购,开放赎回,
20,2025-06-10,0.8314,0.8314,-0.24,开放申购,开放赎回,
21,2025-06-09,0.8334,0.8334,1.2,开放申购,开放赎回,
22,2025-06-06,0.8235,0.8235,0.26,开放申购,开放赎回,
23,2025-06-05,0.8214,0.8214,-1.75,开放申购,开放赎回,
24,2025-06-04,0.836,0.836,0.47,开放申购,开放赎回,
25,2025-06-03,0.8321,0.8321,1.64,开放申购,开放赎回,
26,2025-05-30,0.8187,0.8187,1.29,开放申购,开放赎回,
27,2025-05-29,0.8083,0.8083,0.38,开放申购,开放赎回,
28,2025-05-28,0.8052,0.8052,-0.84,开放申购,开放赎回,
29,2025-05-27,0.812,0.812,0.32,开放申购,开放赎回,
30,2025-05-26,0.8094,0.8094,0.51,开放申购,开放赎回,
31,2025-05-23,0.8053,0.8053,-0.83,开放申购,开放赎回,
32,2025-05-22,0.812,0.812,-0.75,开放申购,开放赎回,
33,2025-05-21,0.8181,0.8181,-0.29,开放申购,开放赎回,
34,2025-05-20,0.8205,0.8205,1.12,开放申购,开放赎回,
35,2025-05-19,0.8114,0.8114,0.58,开放申购,开放赎回,
36,2025-05-16,0.8067,0.8067,-0.44,开放申购,开放赎回,
37,2025-05-15,0.8103,0.8103,0.01,开放申购,开放赎回,
38,2025-05-14,0.8102,0.8102,1.11,开放申购,开放赎回,
39,2025-05-13,0.8013,0.8013,0.0,开放申购,开放赎回,
40,2025-05-12,0.8013,0.8013,-0.16,开放申购,开放赎回,
41,2025-05-09,0.8026,0.8026,-0.27,开放申购,开放赎回,
42,2025-05-08,0.8048,0.8048,-0.17,开放申购,开放赎回,
43,2025-05-07,0.8062,0.8062,0.06,开放申购,开放赎回,
44,2025-05-06,0.8057,0.8057,0.65,开放申购,开放赎回,
45,2025-04-30,0.8005,0.8005,-0.32,开放申购,开放赎回,
46,2025-04-29,0.8031,0.8031,0.41,开放申购,开放赎回,
47,2025-04-28,0.7998,0.7998,-0.89,开放申购,开放赎回,
48,2025-04-25,0.807,0.807,-0.44,开放申购,开放赎回,
49,2025-04-24,0.8106,0.8106,0.76,开放申购,开放赎回,
50,2025-04-23,0.8045,0.8045,-1.69,开放申购,开放赎回,
51,2025-04-22,0.8183,0.8183,1.09,开放申购,开放赎回,
52,2025-04-21,0.8095,0.8095,0.57,开放申购,开放赎回,
53,2025-04-18,0.8049,0.8049,-1.28,开放申购,开放赎回,
54,2025-04-17,0.8153,0.8153,0.01,开放申购,开放赎回,
55,2025-04-16,0.8152,0.8152,-0.82,开放申购,开放赎回,
56,2025-04-15,0.8219,0.8219,-0.22,开放申购,开放赎回,
