,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2025-06-10,2.7510,2.7510,0.04%,开放申购,开放赎回,
1,2025-06-09,2.7498,2.7498,-0.99%,开放申购,开放赎回,
2,2025-06-06,2.7774,2.7774,-0.18%,开放申购,开放赎回,
3,2025-06-05,2.7823,2.7823,0.23%,开放申购,开放赎回,
4,2025-06-04,2.7760,2.7760,0.09%,开放申购,开放赎回,
5,2025-06-03,2.7734,2.7734,1.30%,开放申购,开放赎回,
6,2025-05-30,2.7379,2.7379,0.75%,开放申购,开放赎回,
7,2025-05-29,2.7174,2.7174,-0.87%,开放申购,开放赎回,
8,2025-05-28,2.7413,2.7413,0.06%,开放申购,开放赎回,
9,2025-05-27,2.7396,2.7396,-0.66%,开放申购,开放赎回,
10,2025-05-26,2.7579,2.7579,-0.26%,开放申购,开放赎回,
11,2025-05-23,2.7652,2.7652,-0.28%,开放申购,开放赎回,
12,2025-05-22,2.7731,2.7731,0.61%,开放申购,开放赎回,
13,2025-05-21,2.7563,2.7563,2.64%,开放申购,开放赎回,
14,2025-05-20,2.6853,2.6853,-0.11%,开放申购,开放赎回,
15,2025-05-19,2.6883,2.6883,1.04%,开放申购,开放赎回,
16,2025-05-16,2.6606,2.6606,1.53%,开放申购,开放赎回,
17,2025-05-15,2.6206,2.6206,-3.02%,开放申购,开放赎回,
18,2025-05-14,2.7023,2.7023,-0.69%,开放申购,开放赎回,
19,2025-05-13,2.7211,2.7211,0.51%,开放申购,开放赎回,
20,2025-05-12,2.7073,2.7073,-3.25%,开放申购,开放赎回,
21,2025-05-09,2.7982,2.7982,-0.23%,开放申购,开放赎回,
22,2025-05-08,2.8047,2.8047,-1.41%,开放申购,开放赎回,
23,2025-05-07,2.8449,2.8449,0.77%,开放申购,开放赎回,
24,2025-05-06,2.8232,2.8232,1.55%,开放申购,开放赎回,
25,2025-04-30,2.7801,2.7801,0.00%,开放申购,开放赎回,
26,2025-04-29,2.7801,2.7801,0.28%,开放申购,开放赎回,
27,2025-04-28,2.7724,2.7724,-0.95%,开放申购,开放赎回,
28,2025-04-25,2.7989,2.7989,-0.82%,开放申购,开放赎回,
29,2025-04-24,2.8219,2.8219,0.41%,开放申购,开放赎回,
30,2025-04-23,2.8104,2.8104,-3.96%,开放申购,开放赎回,
31,2025-04-22,2.9263,2.9263,2.52%,开放申购,开放赎回,
32,2025-04-21,2.8545,2.8545,1.91%,开放申购,开放赎回,
33,2025-04-18,2.8010,2.8010,0.25%,开放申购,开放赎回,
34,2025-04-17,2.7940,2.7940,0.60%,开放申购,开放赎回,
35,2025-04-16,2.7774,2.7774,2.41%,开放申购,开放赎回,
36,2025-04-15,2.7120,2.7120,0.05%,开放申购,开放赎回,
37,2025-04-14,2.7106,2.7106,0.71%,开放申购,开放赎回,
38,2025-04-11,2.6916,2.6916,2.04%,开放申购,开放赎回,
39,2025-04-10,2.6379,2.6379,1.67%,开放申购,开放赎回,
40,2025-04-09,2.5945,2.5945,1.52%,开放申购,开放赎回,
41,2025-04-08,2.5556,2.5556,0.44%,开放申购,开放赎回,
42,2025-04-07,2.5443,2.5443,-3.28%,开放申购,开放赎回,
43,2025-04-03,2.6307,2.6307,0.83%,开放申购,开放赎回,
44,2025-04-02,2.6090,2.6090,-0.40%,开放申购,开放赎回,
45,2025-04-01,2.6195,2.6195,0.67%,开放申购,开放赎回,
46,2025-03-31,2.6020,2.6020,1.30%,开放申购,开放赎回,
47,2025-03-28,2.5687,2.5687,1.61%,开放申购,开放赎回,
48,2025-03-27,2.5281,2.5281,0.21%,开放申购,开放赎回,
49,2025-03-26,2.5229,2.5229,0.44%,开放申购,开放赎回,
50,2025-03-25,2.5118,2.5118,-0.19%,开放申购,开放赎回,
51,2025-03-24,2.5165,2.5165,-0.12%,开放申购,开放赎回,
52,2025-03-21,2.5194,2.5194,-0.35%,开放申购,开放赎回,
53,2025-03-20,2.5282,2.5282,0.21%,开放申购,开放赎回,
54,2025-03-19,2.5230,2.5230,0.97%,开放申购,开放赎回,
55,2025-03-18,2.4988,2.4988,0.75%,开放申购,开放赎回,
56,2025-03-17,2.4801,2.4801,0.38%,开放申购,开放赎回,
57,2025-03-14,2.4706,2.4706,1.32%,开放申购,开放赎回,
58,2025-03-13,2.4385,2.4385,0.64%,开放申购,开放赎回,
59,2025-03-12,2.4231,2.4231,0.39%,开放申购,开放赎回,
60,2025-03-11,2.4137,2.4137,-0.75%,开放申购,开放赎回,
61,2025-03-10,2.4320,2.4320,0.35%,开放申购,开放赎回,
62,2025-03-07,2.4234,2.4234,-0.05%,开放申购,开放赎回,
63,2025-03-06,2.4245,2.4245,-0.26%,开放申购,开放赎回,
64,2025-03-05,2.4309,2.4309,0.26%,开放申购,开放赎回,
65,2025-03-04,2.4246,2.4246,1.20%,开放申购,开放赎回,
66,2025-03-03,2.3959,2.3959,0.10%,开放申购,开放赎回,
67,2025-02-28,2.3934,2.3934,-0.84%,开放申购,开放赎回,
68,2025-02-27,2.4137,2.4137,-0.42%,开放申购,开放赎回,
69,2025-02-26,2.4239,2.4239,-0.85%,开放申购,开放赎回,
70,2025-02-25,2.4446,2.4446,-0.04%,开放申购,开放赎回,
71,2025-02-24,2.4455,2.4455,0.27%,开放申购,开放赎回,
72,2025-02-21,2.4389,2.4389,-0.80%,开放申购,开放赎回,
73,2025-02-20,2.4585,2.4585,0.32%,开放申购,开放赎回,
