净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2025-07-08,0.5836,0.5836,1.25%,开放申购,开放赎回,
2025-07-07,0.5764,0.5764,0.05%,开放申购,开放赎回,
2025-07-04,0.5761,0.5761,-1.01%,开放申购,开放赎回,
2025-07-03,0.5820,0.5820,0.43%,开放申购,开放赎回,
2025-07-02,0.5795,0.5795,0.47%,开放申购,开放赎回,
2025-07-01,0.5768,0.5768,0.21%,开放申购,开放赎回,
2025-06-30,0.5756,0.5756,0.40%,开放申购,开放赎回,
2025-06-27,0.5733,0.5733,0.67%,开放申购,开放赎回,
2025-06-26,0.5695,0.5695,-0.14%,开放申购,开放赎回,
2025-06-25,0.5703,0.5703,0.33%,开放申购,开放赎回,
2025-06-24,0.5684,0.5684,1.30%,开放申购,开放赎回,
2025-06-23,0.5611,0.5611,0.12%,开放申购,开放赎回,
2025-06-20,0.5604,0.5604,-0.39%,开放申购,开放赎回,
2025-06-19,0.5626,0.5626,-0.71%,开放申购,开放赎回,
2025-06-18,0.5666,0.5666,-0.51%,开放申购,开放赎回,
2025-06-17,0.5695,0.5695,-0.12%,开放申购,开放赎回,
2025-06-16,0.5702,0.5702,-0.30%,开放申购,开放赎回,
2025-06-13,0.5719,0.5719,0.12%,开放申购,开放赎回,
2025-06-12,0.5712,0.5712,0.16%,开放申购,开放赎回,
2025-06-11,0.5703,0.5703,0.55%,开放申购,开放赎回,
2025-06-10,0.5672,0.5672,-0.56%,开放申购,开放赎回,
2025-06-09,0.5704,0.5704,0.51%,开放申购,开放赎回,
2025-06-06,0.5675,0.5675,0.82%,开放申购,开放赎回,
2025-06-05,0.5629,0.5629,0.21%,开放申购,开放赎回,
2025-06-04,0.5617,0.5617,0.81%,开放申购,开放赎回,
2025-06-03,0.5572,0.5572,0.11%,开放申购,开放赎回,
2025-05-30,0.5566,0.5566,-0.84%,开放申购,开放赎回,
2025-05-29,0.5613,0.5613,0.86%,开放申购,开放赎回,
2025-05-28,0.5565,0.5565,-0.59%,开放申购,开放赎回,
2025-05-27,0.5598,0.5598,-0.14%,开放申购,开放赎回,
2025-05-26,0.5606,0.5606,-0.27%,开放申购,开放赎回,
2025-05-23,0.5621,0.5621,-0.32%,开放申购,开放赎回,
2025-05-22,0.5639,0.5639,-1.07%,开放申购,开放赎回,
2025-05-21,0.5700,0.5700,0.33%,开放申购,开放赎回,
2025-05-20,0.5681,0.5681,0.23%,开放申购,开放赎回,
2025-05-19,0.5668,0.5668,-0.19%,开放申购,开放赎回,
2025-05-16,0.5679,0.5679,-0.16%,开放申购,开放赎回,
2025-05-15,0.5688,0.5688,-0.91%,开放申购,开放赎回,
2025-05-14,0.5740,0.5740,0.60%,开放申购,开放赎回,
2025-05-13,0.5706,0.5706,0.12%,开放申购,开放赎回,
2025-05-12,0.5699,0.5699,1.26%,开放申购,开放赎回,
2025-05-09,0.5628,0.5628,-0.58%,开放申购,开放赎回,
2025-05-08,0.5661,0.5661,-0.47%,开放申购,开放赎回,
2025-05-07,0.5688,0.5688,0.69%,开放申购,开放赎回,
2025-05-06,0.5649,0.5649,1.55%,开放申购,开放赎回,
2025-04-30,0.5563,0.5563,0.14%,开放申购,开放赎回,
2025-04-29,0.5555,0.5555,0.20%,开放申购,开放赎回,
2025-04-28,0.5544,0.5544,-0.73%,开放申购,开放赎回,
2025-04-25,0.5585,0.5585,0.74%,开放申购,开放赎回,
2025-04-24,0.5544,0.5544,-0.22%,开放申购,开放赎回,
2025-04-23,0.5556,0.5556,0.78%,开放申购,开放赎回,
2025-04-22,0.5513,0.5513,0.02%,开放申购,开放赎回,
2025-04-21,0.5512,0.5512,0.99%,开放申购,开放赎回,
2025-04-18,0.5458,0.5458,0.00%,开放申购,开放赎回,
2025-04-17,0.5458,0.5458,-0.13%,开放申购,开放赎回,
2025-04-16,0.5465,0.5465,-0.69%,开放申购,开放赎回,
2025-04-15,0.5503,0.5503,-0.88%,开放申购,开放赎回,
2025-04-14,0.5552,0.5552,0.40%,开放申购,开放赎回,
2025-04-11,0.5530,0.5530,0.18%,开放申购,开放赎回,
2025-04-10,0.5520,0.5520,1.43%,开放申购,开放赎回,
2025-04-09,0.5442,0.5442,0.57%,开放申购,开放赎回,
2025-04-08,0.5411,0.5411,1.44%,开放申购,开放赎回,
2025-04-07,0.5334,0.5334,-8.19%,开放申购,开放赎回,
2025-04-03,0.5810,0.5810,-1.21%,开放申购,开放赎回,
2025-04-02,0.5881,0.5881,0.12%,开放申购,开放赎回,
2025-04-01,0.5874,0.5874,0.48%,开放申购,开放赎回,
2025-03-31,0.5846,0.5846,-0.97%,开放申购,开放赎回,
2025-03-28,0.5903,0.5903,-1.37%,开放申购,开放赎回,
2025-03-27,0.5985,0.5985,0.18%,开放申购,开放赎回,
2025-03-26,0.5974,0.5974,-0.25%,开放申购,开放赎回,
2025-03-25,0.5989,0.5989,0.91%,开放申购,开放赎回,
2025-03-24,0.5935,0.5935,0.29%,开放申购,开放赎回,
2025-03-21,0.5918,0.5918,-1.17%,开放申购,开放赎回,
2025-03-20,0.5988,0.5988,-0.68%,开放申购,开放赎回,
2025-03-19,0.6029,0.6029,-0.40%,开放申购,开放赎回,
2025-03-18,0.6053,0.6053,-0.21%,开放申购,开放赎回,
2025-03-17,0.6066,0.6066,0.23%,开放申购,开放赎回,
2025-03-14,0.6052,0.6052,0.97%,开放申购,开放赎回,
2025-03-13,0.5994,0.5994,-0.40%,开放申购,开放赎回,
2025-03-12,0.6018,0.6018,-0.48%,开放申购,开放赎回,
2025-03-11,0.6047,0.6047,0.92%,开放申购,开放赎回,
2025-03-10,0.5992,0.5992,0.33%,开放申购,开放赎回,
2025-03-07,0.5972,0.5972,0.25%,开放申购,开放赎回,
2025-03-06,0.5957,0.5957,0.64%,开放申购,开放赎回,
2025-03-05,0.5919,0.5919,-0.42%,开放申购,开放赎回,
2025-03-04,0.5944,0.5944,-0.42%,开放申购,开放赎回,
2025-03-03,0.5969,0.5969,1.29%,开放申购,开放赎回,
2025-02-28,0.5893,0.5893,-1.16%,开放申购,开放赎回,
2025-02-27,0.5962,0.5962,0.69%,开放申购,开放赎回,
2025-02-26,0.5921,0.5921,1.08%,开放申购,开放赎回,
2025-02-25,0.5858,0.5858,-1.35%,开放申购,开放赎回,
2025-02-24,0.5938,0.5938,0.29%,开放申购,开放赎回,
2025-02-21,0.5921,0.5921,0.03%,开放申购,开放赎回,
2025-02-20,0.5919,0.5919,0.24%,开放申购,开放赎回,
2025-02-19,0.5905,0.5905,0.56%,开放申购,开放赎回,
2025-02-18,0.5872,0.5872,-0.36%,开放申购,开放赎回,
2025-02-17,0.5893,0.5893,-0.20%,开放申购,开放赎回,
2025-02-14,0.5905,0.5905,-0.22%,开放申购,开放赎回,
2025-02-13,0.5918,0.5918,-0.03%,开放申购,开放赎回,
2025-02-12,0.5920,0.5920,1.14%,开放申购,开放赎回,
2025-02-11,0.5853,0.5853,0.31%,开放申购,开放赎回,
2025-02-10,0.5835,0.5835,0.55%,开放申购,开放赎回,
2025-02-07,0.5803,0.5803,1.42%,开放申购,开放赎回,
2025-02-06,0.5722,0.5722,0.46%,开放申购,开放赎回,
2025-02-05,0.5696,0.5696,-0.77%,开放申购,开放赎回,
2025-01-27,0.5740,0.5740,1.02%,开放申购,开放赎回,
2025-01-24,0.5682,0.5682,0.64%,开放申购,开放赎回,
2025-01-23,0.5646,0.5646,-0.28%,开放申购,开放赎回,
2025-01-22,0.5662,0.5662,-0.54%,开放申购,开放赎回,
2025-01-21,0.5693,0.5693,-0.70%,开放申购,开放赎回,
2025-01-20,0.5733,0.5733,-0.05%,开放申购,开放赎回,
2025-01-17,0.5736,0.5736,1.43%,开放申购,开放赎回,
2025-01-16,0.5655,0.5655,0.34%,开放申购,开放赎回,
2025-01-15,0.5636,0.5636,-0.62%,开放申购,开放赎回,
2025-01-14,0.5671,0.5671,2.18%,开放申购,开放赎回,
2025-01-13,0.5550,0.5550,0.51%,开放申购,开放赎回,
2025-01-10,0.5522,0.5522,-1.06%,开放申购,开放赎回,
2025-01-09,0.5581,0.5581,0.25%,开放申购,开放赎回,
2025-01-08,0.5567,0.5567,-1.42%,开放申购,开放赎回,
