,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2025-07-08,1.1412,1.1412,1.01,开放申购,开放赎回,
1,2025-07-07,1.1298,1.1298,-0.84,开放申购,开放赎回,
2,2025-07-04,1.1394,1.1394,-1.38,开放申购,开放赎回,
3,2025-07-03,1.1554,1.1554,0.25,开放申购,开放赎回,
4,2025-07-02,1.1525,1.1525,0.86,开放申购,开放赎回,
5,2025-07-01,1.1427,1.1427,1.41,开放申购,开放赎回,
6,2025-06-30,1.1268,1.1268,-0.02,开放申购,开放赎回,
7,2025-06-27,1.127,1.127,1.97,开放申购,开放赎回,
8,2025-06-26,1.1052,1.1052,0.26,开放申购,开放赎回,
9,2025-06-25,1.1023,1.1023,0.75,开放申购,开放赎回,
10,2025-06-24,1.0941,1.0941,0.55,开放申购,开放赎回,
11,2025-06-23,1.0881,1.0881,0.82,开放申购,开放赎回,
12,2025-06-20,1.0793,1.0793,-0.5,开放申购,开放赎回,
13,2025-06-19,1.0847,1.0847,-1.49,开放申购,开放赎回,
14,2025-06-18,1.1011,1.1011,-0.3,开放申购,开放赎回,
15,2025-06-17,1.1044,1.1044,0.02,开放申购,开放赎回,
16,2025-06-16,1.1042,1.1042,-0.41,开放申购,开放赎回,
17,2025-06-13,1.1088,1.1088,0.01,开放申购,开放赎回,
18,2025-06-12,1.1087,1.1087,1.07,开放申购,开放赎回,
19,2025-06-11,1.097,1.097,1.97,开放申购,开放赎回,
20,2025-06-10,1.0758,1.0758,0.02,开放申购,开放赎回,
21,2025-06-09,1.0756,1.0756,0.33,开放申购,开放赎回,
22,2025-06-06,1.0721,1.0721,1.08,开放申购,开放赎回,
23,2025-06-05,1.0606,1.0606,-0.39,开放申购,开放赎回,
24,2025-06-04,1.0648,1.0648,1.25,开放申购,开放赎回,
25,2025-06-03,1.0517,1.0517,1.22,开放申购,开放赎回,
26,2025-05-30,1.039,1.039,-0.72,开放申购,开放赎回,
27,2025-05-29,1.0465,1.0465,0.34,开放申购,开放赎回,
28,2025-05-28,1.043,1.043,0.0,开放申购,开放赎回,
29,2025-05-27,1.043,1.043,-1.86,开放申购,开放赎回,
30,2025-05-26,1.0628,1.0628,0.18,开放申购,开放赎回,
31,2025-05-23,1.0609,1.0609,0.07,开放申购,开放赎回,
32,2025-05-22,1.0602,1.0602,-1.03,开放申购,开放赎回,
33,2025-05-21,1.0712,1.0712,2.08,开放申购,开放赎回,
34,2025-05-20,1.0494,1.0494,0.42,开放申购,开放赎回,
35,2025-05-19,1.045,1.045,-0.51,开放申购,开放赎回,
36,2025-05-16,1.0504,1.0504,-0.12,开放申购,开放赎回,
37,2025-05-15,1.0517,1.0517,-1.16,开放申购,开放赎回,
38,2025-05-14,1.064,1.064,0.81,开放申购,开放赎回,
39,2025-05-13,1.0555,1.0555,0.27,开放申购,开放赎回,
40,2025-05-12,1.0527,1.0527,0.85,开放申购,开放赎回,
41,2025-05-09,1.0438,1.0438,-0.27,开放申购,开放赎回,
42,2025-05-08,1.0466,1.0466,-0.7,开放申购,开放赎回,
43,2025-05-07,1.054,1.054,0.29,开放申购,开放赎回,
44,2025-05-06,1.051,1.051,2.19,开放申购,开放赎回,
45,2025-04-30,1.0285,1.0285,-0.22,开放申购,开放赎回,
46,2025-04-29,1.0308,1.0308,-0.19,开放申购,开放赎回,
47,2025-04-28,1.0328,1.0328,-0.37,开放申购,开放赎回,
48,2025-04-25,1.0366,1.0366,0.18,开放申购,开放赎回,
49,2025-04-24,1.0347,1.0347,-0.56,开放申购,开放赎回,
50,2025-04-23,1.0405,1.0405,-1.4,开放申购,开放赎回,
51,2025-04-22,1.0553,1.0553,-0.37,开放申购,开放赎回,
52,2025-04-21,1.0592,1.0592,3.55,开放申购,开放赎回,
53,2025-04-18,1.0229,1.0229,-0.26,开放申购,开放赎回,
54,2025-04-17,1.0256,1.0256,-0.55,开放申购,开放赎回,
55,2025-04-16,1.0313,1.0313,-0.02,开放申购,开放赎回,
56,2025-04-15,1.0315,1.0315,-0.63,开放申购,开放赎回,
57,2025-04-14,1.038,1.038,2.15,开放申购,开放赎回,
58,2025-04-11,1.0162,1.0162,0.86,开放申购,开放赎回,
59,2025-04-10,1.0075,1.0075,3.31,开放申购,开放赎回,
60,2025-04-09,0.9752,0.9752,1.21,开放申购,开放赎回,
61,2025-04-08,0.9635,0.9635,-0.34,开放申购,开放赎回,
62,2025-04-07,0.9668,0.9668,-7.84,开放申购,开放赎回,
63,2025-04-03,1.0491,1.0491,-1.4,开放申购,开放赎回,
64,2025-04-02,1.064,1.064,-0.97,开放申购,开放赎回,
65,2025-04-01,1.0744,1.0744,0.21,开放申购,开放赎回,
66,2025-03-31,1.0722,1.0722,-0.78,开放申购,开放赎回,
67,2025-03-28,1.0806,1.0806,-0.02,开放申购,开放赎回,
68,2025-03-27,1.0808,1.0808,-0.97,开放申购,开放赎回,
69,2025-03-26,1.0914,1.0914,-0.52,开放申购,开放赎回,
70,2025-03-25,1.0971,1.0971,0.38,开放申购,开放赎回,
71,2025-03-24,1.0929,1.0929,1.59,开放申购,开放赎回,
72,2025-03-21,1.0758,1.0758,-2.25,开放申购,开放赎回,
73,2025-03-20,1.1006,1.1006,-0.29,开放申购,开放赎回,
74,2025-03-19,1.1038,1.1038,0.08,开放申购,开放赎回,
75,2025-03-18,1.1029,1.1029,1.31,开放申购,开放赎回,
76,2025-03-17,1.0886,1.0886,-0.93,开放申购,开放赎回,
77,2025-03-14,1.0988,1.0988,1.2,开放申购,开放赎回,
78,2025-03-13,1.0858,1.0858,0.5,开放申购,开放赎回,
79,2025-03-12,1.0804,1.0804,0.07,开放申购,开放赎回,
80,2025-03-11,1.0796,1.0796,0.51,开放申购,开放赎回,
81,2025-03-10,1.0741,1.0741,1.13,开放申购,开放赎回,
82,2025-03-07,1.0621,1.0621,1.24,开放申购,开放赎回,
83,2025-03-06,1.0491,1.0491,1.33,开放申购,开放赎回,
84,2025-03-05,1.0353,1.0353,0.81,开放申购,开放赎回,
85,2025-03-04,1.027,1.027,0.54,开放申购,开放赎回,
86,2025-03-03,1.0215,1.0215,2.21,开放申购,开放赎回,
87,2025-02-28,0.9994,0.9994,-1.5,开放申购,开放赎回,
88,2025-02-27,1.0146,1.0146,-0.51,开放申购,开放赎回,
89,2025-02-26,1.0198,1.0198,0.49,开放申购,开放赎回,
