,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2025-07-08,0.9424,0.9424,0.86,开放申购,开放赎回,
1,2025-07-07,0.9344,0.9344,-0.06,开放申购,开放赎回,
2,2025-07-04,0.935,0.935,-0.1,开放申购,开放赎回,
3,2025-07-03,0.9359,0.9359,-0.01,开放申购,开放赎回,
4,2025-07-02,0.936,0.936,-1.78,开放申购,开放赎回,
5,2025-07-01,0.953,0.953,-0.67,开放申购,开放赎回,
6,2025-06-30,0.9594,0.9594,4.09,开放申购,开放赎回,
7,2025-06-27,0.9217,0.9217,0.77,开放申购,开放赎回,
8,2025-06-26,0.9147,0.9147,-0.17,开放申购,开放赎回,
9,2025-06-25,0.9163,0.9163,3.02,开放申购,开放赎回,
10,2025-06-24,0.8894,0.8894,0.43,开放申购,开放赎回,
11,2025-06-23,0.8856,0.8856,1.29,开放申购,开放赎回,
12,2025-06-20,0.8743,0.8743,-1.33,开放申购,开放赎回,
13,2025-06-19,0.8861,0.8861,-1.65,开放申购,开放赎回,
14,2025-06-18,0.901,0.901,0.5,开放申购,开放赎回,
15,2025-06-17,0.8965,0.8965,-0.16,开放申购,开放赎回,
16,2025-06-16,0.8979,0.8979,-0.17,开放申购,开放赎回,
17,2025-06-13,0.8994,0.8994,1.67,开放申购,开放赎回,
18,2025-06-12,0.8846,0.8846,-0.51,开放申购,开放赎回,
19,2025-06-11,0.8891,0.8891,0.57,开放申购,开放赎回,
20,2025-06-10,0.8841,0.8841,-2.21,开放申购,开放赎回,
21,2025-06-09,0.9041,0.9041,1.92,开放申购,开放赎回,
22,2025-06-06,0.8871,0.8871,-0.09,开放申购,开放赎回,
23,2025-06-05,0.8879,0.8879,0.2,开放申购,开放赎回,
24,2025-06-04,0.8861,0.8861,-0.35,开放申购,开放赎回,
25,2025-06-03,0.8892,0.8892,0.86,开放申购,开放赎回,
26,2025-05-30,0.8816,0.8816,0.55,开放申购,开放赎回,
27,2025-05-29,0.8768,0.8768,1.5,开放申购,开放赎回,
28,2025-05-28,0.8638,0.8638,-0.67,开放申购,开放赎回,
29,2025-05-27,0.8696,0.8696,-0.79,开放申购,开放赎回,
30,2025-05-26,0.8765,0.8765,0.87,开放申购,开放赎回,
31,2025-05-23,0.8689,0.8689,-1.15,开放申购,开放赎回,
32,2025-05-22,0.879,0.879,-0.55,开放申购,开放赎回,
33,2025-05-21,0.8839,0.8839,0.31,开放申购,开放赎回,
34,2025-05-20,0.8812,0.8812,-0.64,开放申购,开放赎回,
35,2025-05-19,0.8869,0.8869,1.28,开放申购,开放赎回,
36,2025-05-16,0.8757,0.8757,-0.18,开放申购,开放赎回,
37,2025-05-15,0.8773,0.8773,-1.78,开放申购,开放赎回,
38,2025-05-14,0.8932,0.8932,-0.79,开放申购,开放赎回,
39,2025-05-13,0.9003,0.9003,-2.87,开放申购,开放赎回,
40,2025-05-12,0.9269,0.9269,4.69,开放申购,开放赎回,
41,2025-05-09,0.8854,0.8854,-2.69,开放申购,开放赎回,
42,2025-05-08,0.9099,0.9099,2.77,开放申购,开放赎回,
43,2025-05-07,0.8854,0.8854,4.1,开放申购,开放赎回,
44,2025-05-06,0.8505,0.8505,1.42,开放申购,开放赎回,
45,2025-04-30,0.8386,0.8386,0.14,开放申购,开放赎回,
46,2025-04-29,0.8374,0.8374,-0.38,开放申购,开放赎回,
47,2025-04-28,0.8406,0.8406,-0.81,开放申购,开放赎回,
48,2025-04-25,0.8475,0.8475,0.15,开放申购,开放赎回,
49,2025-04-24,0.8462,0.8462,-1.02,开放申购,开放赎回,
50,2025-04-23,0.8549,0.8549,-0.27,开放申购,开放赎回,
51,2025-04-22,0.8572,0.8572,-0.34,开放申购,开放赎回,
52,2025-04-21,0.8601,0.8601,1.63,开放申购,开放赎回,
53,2025-04-18,0.8463,0.8463,-0.72,开放申购,开放赎回,
54,2025-04-17,0.8524,0.8524,-0.37,开放申购,开放赎回,
55,2025-04-16,0.8556,0.8556,-0.14,开放申购,开放赎回,
56,2025-04-15,0.8568,0.8568,-1.89,开放申购,开放赎回,
