净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2025-07-08,2.2132,2.2132,2.26%,开放申购,开放赎回,
2025-07-07,2.1642,2.1642,-1.15%,开放申购,开放赎回,
2025-07-04,2.1894,2.1894,-0.34%,开放申购,开放赎回,
2025-07-03,2.1968,2.1968,1.80%,开放申购,开放赎回,
2025-07-02,2.1579,2.1579,-1.07%,开放申购,开放赎回,
2025-07-01,2.1812,2.1812,-0.22%,开放申购,开放赎回,
2025-06-30,2.1861,2.1861,1.28%,开放申购,开放赎回,
2025-06-27,2.1584,2.1584,0.45%,开放申购,开放赎回,
2025-06-26,2.1488,2.1488,-0.62%,开放申购,开放赎回,
2025-06-25,2.1623,2.1623,2.96%,开放申购,开放赎回,
2025-06-24,2.1001,2.1001,2.19%,开放申购,开放赎回,
2025-06-23,2.0550,2.0550,0.36%,开放申购,开放赎回,
2025-06-20,2.0476,2.0476,-0.78%,开放申购,开放赎回,
2025-06-19,2.0637,2.0637,-1.28%,开放申购,开放赎回,
2025-06-18,2.0904,2.0904,0.24%,开放申购,开放赎回,
2025-06-17,2.0853,2.0853,-0.33%,开放申购,开放赎回,
2025-06-16,2.0923,2.0923,0.62%,开放申购,开放赎回,
2025-06-13,2.0795,2.0795,-1.02%,开放申购,开放赎回,
2025-06-12,2.1009,2.1009,0.26%,开放申购,开放赎回,
2025-06-11,2.0955,2.0955,1.16%,开放申购,开放赎回,
2025-06-10,2.0715,2.0715,-1.10%,开放申购,开放赎回,
2025-06-09,2.0945,2.0945,1.02%,开放申购,开放赎回,
2025-06-06,2.0733,2.0733,-0.40%,开放申购,开放赎回,
2025-06-05,2.0817,2.0817,1.11%,开放申购,开放赎回,
2025-06-04,2.0589,2.0589,1.07%,开放申购,开放赎回,
2025-06-03,2.0371,2.0371,0.44%,开放申购,开放赎回,
2025-05-30,2.0281,2.0281,-0.88%,开放申购,开放赎回,
2025-05-29,2.0461,2.0461,1.34%,开放申购,开放赎回,
2025-05-28,2.0190,2.0190,-0.26%,开放申购,开放赎回,
2025-05-27,2.0243,2.0243,-0.63%,开放申购,开放赎回,
2025-05-26,2.0372,2.0372,-0.71%,开放申购,开放赎回,
2025-05-23,2.0518,2.0518,-1.09%,开放申购,开放赎回,
2025-05-22,2.0745,2.0745,-0.90%,开放申购,开放赎回,
2025-05-21,2.0934,2.0934,0.79%,开放申购,开放赎回,
2025-05-20,2.0770,2.0770,0.73%,开放申购,开放赎回,
2025-05-19,2.0619,2.0619,-0.29%,开放申购,开放赎回,
2025-05-16,2.0680,2.0680,-0.18%,开放申购,开放赎回,
2025-05-15,2.0717,2.0717,-1.82%,开放申购,开放赎回,
2025-05-14,2.1100,2.1100,0.96%,开放申购,开放赎回,
2025-05-13,2.0900,2.0900,-0.11%,开放申购,开放赎回,
2025-05-12,2.0923,2.0923,2.49%,开放申购,开放赎回,
2025-05-09,2.0415,2.0415,-0.83%,开放申购,开放赎回,
2025-05-08,2.0585,2.0585,1.56%,开放申购,开放赎回,
2025-05-07,2.0268,2.0268,0.48%,开放申购,开放赎回,
2025-05-06,2.0171,2.0171,1.86%,开放申购,开放赎回,
