净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2025-07-08,0.5652,0.5652,0.27%,开放申购,开放赎回,
2025-07-07,0.5637,0.5637,-1.93%,开放申购,开放赎回,
2025-07-04,0.5748,0.5748,0.61%,开放申购,开放赎回,
2025-07-03,0.5713,0.5713,1.96%,开放申购,开放赎回,
2025-07-02,0.5603,0.5603,-1.34%,开放申购,开放赎回,
2025-07-01,0.5679,0.5679,2.01%,开放申购,开放赎回,
2025-06-30,0.5567,0.5567,1.14%,开放申购,开放赎回,
2025-06-27,0.5504,0.5504,0.13%,开放申购,开放赎回,
2025-06-26,0.5497,0.5497,-1.61%,开放申购,开放赎回,
2025-06-25,0.5587,0.5587,0.45%,开放申购,开放赎回,
2025-06-24,0.5562,0.5562,1.05%,开放申购,开放赎回,
2025-06-23,0.5504,0.5504,0.84%,开放申购,开放赎回,
2025-06-20,0.5458,0.5458,-0.04%,开放申购,开放赎回,
2025-06-19,0.5460,0.5460,-1.44%,开放申购,开放赎回,
2025-06-18,0.5540,0.5540,-0.52%,开放申购,开放赎回,
2025-06-17,0.5569,0.5569,-2.62%,开放申购,开放赎回,
2025-06-16,0.5719,0.5719,-0.49%,开放申购,开放赎回,
2025-06-13,0.5747,0.5747,-2.03%,开放申购,开放赎回,
2025-06-12,0.5866,0.5866,2.55%,开放申购,开放赎回,
2025-06-11,0.5720,0.5720,-0.83%,开放申购,开放赎回,
2025-06-10,0.5768,0.5768,0.86%,开放申购,开放赎回,
2025-06-09,0.5719,0.5719,2.38%,开放申购,开放赎回,
2025-06-06,0.5586,0.5586,-0.66%,开放申购,开放赎回,
2025-06-05,0.5623,0.5623,-1.32%,开放申购,开放赎回,
2025-06-04,0.5698,0.5698,1.41%,开放申购,开放赎回,
2025-06-03,0.5619,0.5619,0.99%,开放申购,开放赎回,
2025-05-30,0.5564,0.5564,0.69%,开放申购,开放赎回,
2025-05-29,0.5526,0.5526,3.15%,开放申购,开放赎回,
2025-05-28,0.5357,0.5357,-0.46%,开放申购,开放赎回,
2025-05-27,0.5382,0.5382,1.26%,开放申购,开放赎回,
2025-05-26,0.5315,0.5315,-1.63%,开放申购,开放赎回,
2025-05-23,0.5403,0.5403,0.20%,开放申购,开放赎回,
2025-05-22,0.5392,0.5392,-0.15%,开放申购,开放赎回,
2025-05-21,0.5400,0.5400,1.29%,开放申购,开放赎回,
2025-05-20,0.5331,0.5331,2.30%,开放申购,开放赎回,
2025-05-19,0.5211,0.5211,-0.23%,开放申购,开放赎回,
2025-05-16,0.5223,0.5223,0.89%,开放申购,开放赎回,
2025-05-15,0.5177,0.5177,0.21%,开放申购,开放赎回,
2025-05-14,0.5166,0.5166,0.41%,开放申购,开放赎回,
2025-05-13,0.5145,0.5145,1.08%,开放申购,开放赎回,
2025-05-12,0.5090,0.5090,-1.41%,开放申购,开放赎回,
2025-05-09,0.5163,0.5163,0.27%,开放申购,开放赎回,
2025-05-08,0.5149,0.5149,-0.04%,开放申购,开放赎回,
2025-05-07,0.5151,0.5151,-1.09%,开放申购,开放赎回,
2025-05-06,0.5208,0.5208,0.68%,开放申购,开放赎回,
2025-04-30,0.5173,0.5173,0.78%,开放申购,开放赎回,
2025-04-29,0.5133,0.5133,0.53%,开放申购,开放赎回,
2025-04-28,0.5106,0.5106,0.06%,开放申购,开放赎回,
2025-04-25,0.5103,0.5103,-0.78%,开放申购,开放赎回,
2025-04-24,0.5143,0.5143,0.76%,开放申购,开放赎回,
2025-04-23,0.5104,0.5104,-0.82%,开放申购,开放赎回,
2025-04-22,0.5146,0.5146,1.16%,开放申购,开放赎回,
2025-04-21,0.5087,0.5087,1.64%,开放申购,开放赎回,
2025-04-18,0.5005,0.5005,-0.16%,开放申购,开放赎回,
2025-04-17,0.5013,0.5013,-0.48%,开放申购,开放赎回,
2025-04-16,0.5037,0.5037,-0.69%,开放申购,开放赎回,
2025-04-15,0.5072,0.5072,-0.43%,开放申购,开放赎回,
2025-04-14,0.5094,0.5094,1.19%,开放申购,开放赎回,
2025-04-11,0.5034,0.5034,0.62%,开放申购,开放赎回,
2025-04-10,0.5003,0.5003,2.27%,开放申购,开放赎回,
2025-04-09,0.4892,0.4892,-0.55%,开放申购,开放赎回,
2025-04-08,0.4919,0.4919,-0.12%,开放申购,开放赎回,
2025-04-07,0.4925,0.4925,-8.18%,开放申购,开放赎回,
2025-04-03,0.5364,0.5364,-0.37%,开放申购,开放赎回,
2025-04-02,0.5384,0.5384,-0.85%,开放申购,开放赎回,
2025-04-01,0.5430,0.5430,4.12%,开放申购,开放赎回,
2025-03-31,0.5215,0.5215,-0.97%,开放申购,开放赎回,
2025-03-28,0.5266,0.5266,0.11%,开放申购,开放赎回,
2025-03-27,0.5260,0.5260,3.44%,开放申购,开放赎回,
2025-03-26,0.5085,0.5085,-0.20%,开放申购,开放赎回,
2025-03-25,0.5095,0.5095,0.14%,开放申购,开放赎回,
2025-03-24,0.5088,0.5088,-0.41%,开放申购,开放赎回,
2025-03-21,0.5109,0.5109,-1.86%,开放申购,开放赎回,
