净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2025-07-08,0.7944,0.7944,1.26%,开放申购,开放赎回,
2025-07-07,0.7845,0.7845,-0.32%,开放申购,开放赎回,
2025-07-04,0.7870,0.7870,-0.14%,开放申购,开放赎回,
2025-07-03,0.7881,0.7881,0.18%,开放申购,开放赎回,
2025-07-02,0.7867,0.7867,-1.93%,开放申购,开放赎回,
2025-07-01,0.8022,0.8022,-0.53%,开放申购,开放赎回,
2025-06-30,0.8065,0.8065,1.41%,开放申购,开放赎回,
2025-06-27,0.7953,0.7953,0.32%,开放申购,开放赎回,
2025-06-26,0.7928,0.7928,-0.91%,开放申购,开放赎回,
2025-06-25,0.8001,0.8001,1.77%,开放申购,开放赎回,
2025-06-24,0.7862,0.7862,1.80%,开放申购,开放赎回,
2025-06-23,0.7723,0.7723,0.94%,开放申购,开放赎回,
2025-06-20,0.7651,0.7651,-0.70%,开放申购,开放赎回,
2025-06-19,0.7705,0.7705,-0.06%,开放申购,开放赎回,
2025-06-18,0.7710,0.7710,0.61%,开放申购,开放赎回,
2025-06-17,0.7663,0.7663,-0.42%,开放申购,开放赎回,
2025-06-16,0.7695,0.7695,0.18%,开放申购,开放赎回,
2025-06-13,0.7681,0.7681,-0.09%,开放申购,开放赎回,
2025-06-12,0.7688,0.7688,-0.92%,开放申购,开放赎回,
2025-06-11,0.7759,0.7759,-0.06%,开放申购,开放赎回,
2025-06-10,0.7764,0.7764,-1.93%,开放申购,开放赎回,
2025-06-09,0.7917,0.7917,-0.10%,开放申购,开放赎回,
2025-06-06,0.7925,0.7925,0.09%,开放申购,开放赎回,
2025-06-05,0.7918,0.7918,1.66%,开放申购,开放赎回,
2025-06-04,0.7789,0.7789,0.45%,开放申购,开放赎回,
2025-06-03,0.7754,0.7754,0.64%,开放申购,开放赎回,
2025-05-30,0.7705,0.7705,-1.38%,开放申购,开放赎回,
2025-05-29,0.7813,0.7813,1.82%,开放申购,开放赎回,
2025-05-28,0.7673,0.7673,-0.60%,开放申购,开放赎回,
2025-05-27,0.7719,0.7719,-1.24%,开放申购,开放赎回,
2025-05-26,0.7816,0.7816,0.48%,开放申购,开放赎回,
2025-05-23,0.7779,0.7779,-1.42%,开放申购,开放赎回,
2025-05-22,0.7891,0.7891,-0.19%,开放申购,开放赎回,
2025-05-21,0.7906,0.7906,-1.00%,开放申购,开放赎回,
2025-05-20,0.7986,0.7986,0.36%,开放申购,开放赎回,
2025-05-19,0.7957,0.7957,0.34%,开放申购,开放赎回,
2025-05-16,0.7930,0.7930,-0.24%,开放申购,开放赎回,
2025-05-15,0.7949,0.7949,-1.88%,开放申购,开放赎回,
2025-05-14,0.8101,0.8101,0.41%,开放申购,开放赎回,
2025-05-13,0.8068,0.8068,-0.43%,开放申购,开放赎回,
2025-05-12,0.8103,0.8103,0.42%,开放申购,开放赎回,
2025-05-09,0.8069,0.8069,-2.08%,开放申购,开放赎回,
2025-05-08,0.8240,0.8240,-0.60%,开放申购,开放赎回,
2025-05-07,0.8290,0.8290,-0.43%,开放申购,开放赎回,
2025-05-06,0.8326,0.8326,1.39%,开放申购,开放赎回,
2025-04-30,0.8212,0.8212,1.03%,开放申购,开放赎回,
2025-04-29,0.8128,0.8128,0.96%,开放申购,开放赎回,
2025-04-28,0.8051,0.8051,0.22%,开放申购,开放赎回,
2025-04-25,0.8033,0.8033,-0.21%,开放申购,开放赎回,
2025-04-24,0.8050,0.8050,-1.11%,开放申购,开放赎回,
2025-04-23,0.8140,0.8140,-0.06%,开放申购,开放赎回,
2025-04-22,0.8145,0.8145,-0.39%,开放申购,开放赎回,
2025-04-21,0.8177,0.8177,1.00%,开放申购,开放赎回,
2025-04-18,0.8096,0.8096,-1.01%,开放申购,开放赎回,
2025-04-17,0.8179,0.8179,0.36%,开放申购,开放赎回,
2025-04-16,0.8150,0.8150,1.03%,开放申购,开放赎回,
2025-04-15,0.8067,0.8067,-1.13%,开放申购,开放赎回,
2025-04-14,0.8159,0.8159,0.10%,开放申购,开放赎回,
2025-04-11,0.8151,0.8151,4.03%,开放申购,开放赎回,
2025-04-10,0.7835,0.7835,0.99%,开放申购,开放赎回,
2025-04-09,0.7758,0.7758,4.82%,开放申购,开放赎回,
2025-04-08,0.7401,0.7401,-0.09%,开放申购,开放赎回,
2025-04-07,0.7408,0.7408,-8.07%,开放申购,开放赎回,
2025-04-03,0.8058,0.8058,-0.33%,开放申购,开放赎回,
2025-04-02,0.8085,0.8085,-0.11%,开放申购,开放赎回,
2025-04-01,0.8094,0.8094,0.04%,开放申购,开放赎回,
2025-03-31,0.8091,0.8091,-0.02%,开放申购,开放赎回,
2025-03-28,0.8093,0.8093,-1.53%,开放申购,开放赎回,
2025-03-27,0.8219,0.8219,1.01%,开放申购,开放赎回,
2025-03-26,0.8137,0.8137,-0.06%,开放申购,开放赎回,
2025-03-25,0.8142,0.8142,-1.79%,开放申购,开放赎回,
2025-03-24,0.8290,0.8290,0.70%,开放申购,开放赎回,
2025-03-21,0.8232,0.8232,-2.42%,开放申购,开放赎回,
2025-03-20,0.8436,0.8436,-0.85%,开放申购,开放赎回,
2025-03-19,0.8508,0.8508,-1.25%,开放申购,开放赎回,
2025-03-18,0.8616,0.8616,0.64%,开放申购,开放赎回,
2025-03-17,0.8561,0.8561,-0.42%,开放申购,开放赎回,
2025-03-14,0.8597,0.8597,1.69%,开放申购,开放赎回,
2025-03-13,0.8454,0.8454,-2.66%,开放申购,开放赎回,
2025-03-12,0.8685,0.8685,-0.34%,开放申购,开放赎回,
2025-03-11,0.8715,0.8715,-0.66%,开放申购,开放赎回,
2025-03-10,0.8773,0.8773,-0.23%,开放申购,开放赎回,
2025-03-07,0.8793,0.8793,-1.40%,开放申购,开放赎回,
2025-03-06,0.8918,0.8918,2.77%,开放申购,开放赎回,
2025-03-05,0.8678,0.8678,0.40%,开放申购,开放赎回,
2025-03-04,0.8643,0.8643,2.19%,开放申购,开放赎回,
2025-03-03,0.8458,0.8458,-1.46%,开放申购,开放赎回,
2025-02-28,0.8583,0.8583,-4.51%,开放申购,开放赎回,
2025-02-27,0.8988,0.8988,-0.33%,开放申购,开放赎回,
2025-02-26,0.9018,0.9018,1.68%,开放申购,开放赎回,
2025-02-25,0.8869,0.8869,-0.26%,开放申购,开放赎回,
2025-02-24,0.8892,0.8892,0.29%,开放申购,开放赎回,
2025-02-21,0.8866,0.8866,5.13%,开放申购,开放赎回,
2025-02-20,0.8433,0.8433,-0.51%,开放申购,开放赎回,
2025-02-19,0.8476,0.8476,3.82%,开放申购,开放赎回,
2025-02-18,0.8164,0.8164,-1.96%,开放申购,开放赎回,
2025-02-17,0.8327,0.8327,1.22%,开放申购,开放赎回,
2025-02-14,0.8227,0.8227,-0.01%,开放申购,开放赎回,
2025-02-13,0.8228,0.8228,-2.70%,开放申购,开放赎回,
2025-02-12,0.8456,0.8456,2.98%,开放申购,开放赎回,
2025-02-11,0.8211,0.8211,-1.06%,开放申购,开放赎回,
2025-02-10,0.8299,0.8299,0.99%,开放申购,开放赎回,
2025-02-07,0.8218,0.8218,0.31%,开放申购,开放赎回,
2025-02-06,0.8193,0.8193,3.92%,开放申购,开放赎回,
2025-02-05,0.7884,0.7884,2.94%,开放申购,开放赎回,
2025-01-27,0.7659,0.7659,-2.53%,开放申购,开放赎回,
2025-01-24,0.7858,0.7858,0.80%,开放申购,开放赎回,
2025-01-23,0.7796,0.7796,-1.37%,开放申购,开放赎回,
2025-01-22,0.7904,0.7904,-0.05%,开放申购,开放赎回,
2025-01-21,0.7908,0.7908,1.13%,开放申购,开放赎回,
2025-01-20,0.7820,0.7820,-0.04%,开放申购,开放赎回,
2025-01-17,0.7823,0.7823,2.13%,开放申购,开放赎回,
2025-01-16,0.7660,0.7660,-2.30%,开放申购,开放赎回,
2025-01-15,0.7840,0.7840,-0.19%,开放申购,开放赎回,
2025-01-14,0.7855,0.7855,3.59%,开放申购,开放赎回,
2025-01-13,0.7583,0.7583,-0.39%,开放申购,开放赎回,
2025-01-10,0.7613,0.7613,-0.39%,开放申购,开放赎回,
2025-01-09,0.7643,0.7643,0.32%,开放申购,开放赎回,
2025-01-08,0.7619,0.7619,0.12%,开放申购,开放赎回,
2025-01-07,0.7610,0.7610,4.20%,开放申购,开放赎回,
2025-01-06,0.7303,0.7303,-0.75%,开放申购,开放赎回,
2025-01-03,0.7358,0.7358,-1.96%,开放申购,开放赎回,
2025-01-02,0.7505,0.7505,-4.21%,开放申购,开放赎回,
2024-12-31,0.7835,0.7835,-3.84%,开放申购,开放赎回,
2024-12-30,0.8148,0.8148,0.20%,开放申购,开放赎回,
2024-12-27,0.8132,0.8132,-1.06%,开放申购,开放赎回,
2024-12-26,0.8219,0.8219,1.88%,开放申购,开放赎回,
2024-12-25,0.8067,0.8067,0.06%,开放申购,开放赎回,
2024-12-24,0.8062,0.8062,1.51%,开放申购,开放赎回,
2024-12-23,0.7942,0.7942,-1.71%,开放申购,开放赎回,
2024-12-20,0.8080,0.8080,3.19%,开放申购,开放赎回,
2024-12-19,0.7830,0.7830,2.19%,开放申购,开放赎回,
2024-12-18,0.7662,0.7662,2.74%,开放申购,开放赎回,
2024-12-17,0.7458,0.7458,-0.84%,开放申购,开放赎回,
2024-12-16,0.7521,0.7521,-1.61%,开放申购,开放赎回,
2024-12-13,0.7644,0.7644,-1.42%,开放申购,开放赎回,
2024-12-12,0.7754,0.7754,0.78%,开放申购,开放赎回,
2024-12-11,0.7694,0.7694,-0.41%,开放申购,开放赎回,
2024-12-10,0.7726,0.7726,0.74%,开放申购,开放赎回,
2024-12-09,0.7669,0.7669,-1.55%,开放申购,开放赎回,
2024-12-06,0.7790,0.7790,1.23%,开放申购,开放赎回,
2024-12-05,0.7695,0.7695,-0.26%,开放申购,开放赎回,
2024-12-04,0.7715,0.7715,0.26%,开放申购,开放赎回,
2024-12-03,0.7695,0.7695,-1.59%,开放申购,开放赎回,
2024-12-02,0.7819,0.7819,0.64%,开放申购,开放赎回,
2024-11-29,0.7769,0.7769,1.89%,开放申购,开放赎回,
2024-11-28,0.7625,0.7625,-0.37%,开放申购,开放赎回,
2024-11-27,0.7653,0.7653,3.07%,开放申购,开放赎回,
2024-11-26,0.7425,0.7425,-0.67%,开放申购,开放赎回,
2024-11-25,0.7475,0.7475,-1.32%,开放申购,开放赎回,
2024-11-22,0.7575,0.7575,-4.11%,开放申购,开放赎回,
2024-11-21,0.7900,0.7900,0.51%,开放申购,开放赎回,
2024-11-20,0.7860,0.7860,-0.19%,开放申购,开放赎回,
2024-11-19,0.7875,0.7875,3.04%,开放申购,开放赎回,
2024-11-18,0.7643,0.7643,-2.08%,开放申购,开放赎回,
2024-11-15,0.7805,0.7805,-4.13%,开放申购,开放赎回,
2024-11-14,0.8141,0.8141,-3.46%,开放申购,开放赎回,
2024-11-13,0.8433,0.8433,-0.02%,开放申购,开放赎回,
2024-11-12,0.8435,0.8435,-2.25%,开放申购,开放赎回,
2024-11-11,0.8629,0.8629,6.10%,开放申购,开放赎回,
2024-11-08,0.8133,0.8133,0.30%,开放申购,开放赎回,
2024-11-07,0.8109,0.8109,3.01%,开放申购,开放赎回,
2024-11-06,0.7872,0.7872,1.25%,开放申购,开放赎回,
2024-11-05,0.7775,0.7775,4.56%,开放申购,开放赎回,
2024-11-04,0.7436,0.7436,1.77%,开放申购,开放赎回,
2024-11-01,0.7307,0.7307,-3.65%,开放申购,开放赎回,
2024-10-31,0.7584,0.7584,2.05%,开放申购,开放赎回,
2024-10-30,0.7432,0.7432,-1.33%,开放申购,开放赎回,
2024-10-29,0.7532,0.7532,-0.16%,开放申购,开放赎回,
2024-10-28,0.7544,0.7544,-0.22%,开放申购,开放赎回,
2024-10-25,0.7561,0.7561,0.76%,开放申购,开放赎回,
2024-10-24,0.7504,0.7504,0.12%,开放申购,开放赎回,
2024-10-23,0.7495,0.7495,-1.50%,开放申购,开放赎回,
2024-10-22,0.7609,0.7609,-1.76%,开放申购,开放赎回,
2024-10-21,0.7745,0.7745,2.33%,开放申购,开放赎回,
2024-10-18,0.7569,0.7569,11.39%,开放申购,开放赎回,
2024-10-17,0.6795,0.6795,0.44%,开放申购,开放赎回,
2024-10-16,0.6765,0.6765,-2.24%,开放申购,开放赎回,
2024-10-15,0.6920,0.6920,-1.76%,开放申购,开放赎回,
2024-10-14,0.7044,0.7044,3.25%,开放申购,开放赎回,
2024-10-11,0.6822,0.6822,-6.14%,开放申购,开放赎回,
2024-10-10,0.7268,0.7268,-5.14%,开放申购,开放赎回,
2024-10-09,0.7662,0.7662,1.59%,开放申购,开放赎回,
2024-10-08,0.7542,0.7542,14.10%,开放申购,开放赎回,
2024-09-30,0.6610,0.6610,13.85%,开放申购,开放赎回,
2024-09-27,0.5806,0.5806,7.08%,开放申购,开放赎回,
2024-09-26,0.5422,0.5422,4.13%,开放申购,开放赎回,
2024-09-25,0.5207,0.5207,0.70%,开放申购,开放赎回,
2024-09-24,0.5171,0.5171,3.84%,开放申购,开放赎回,
2024-09-23,0.4980,0.4980,-1.23%,开放申购,开放赎回,
