end_day,alpha,beta,gamma,season,rss
-600,0.12080485207400343,0.0033395720559766585,0.0001,18,0.016338367339651202
-580,0.11535907257046274,0.0034296488331809322,0.0001,18,0.01716609298423668
-560,0.11363086126131967,0.0033890528322662837,0.0001,18,0.01733706578154709
-540,0.11155488190271466,0.0031980496325387567,0.0027992204758748567,18,0.01757527222705449
-520,0.11803168328049285,0.0033911895966743156,0.0001,18,0.0180298786882483
-500,0.11595590587633646,0.003352766964265825,0.0004997487570164414,18,0.01847794054929419
-480,0.11646077431380279,0.003400124271331977,0.0009093010980296399,18,0.0187377970502206
-460,0.11488148415248167,0.0033593397687211933,0.0001,18,0.019077863071546672
-440,0.11638632977887739,0.0033422819513154152,0.0001,18,0.019252079851084788
-420,0.12015840627103945,0.003294879070395059,0.0014151900347692456,18,0.019541998352254557
-400,0.1199763504758115,0.0033494137166521177,0.0035695278429039843,18,0.020129723554939527
-380,0.11819939137111189,0.0032987760595430474,0.003931873351832836,18,0.020413243576758413
-360,0.12065039958582338,0.0032970679199764838,0.00481794390436925,18,0.02100965595073357
-340,0.13086967687999243,0.0033770599287227553,0.06365892370118051,17,0.024134004219022523
-320,0.11457050561610896,0.003403795975938502,0.06204253780649591,17,0.02557399043304205
-300,0.11596774738652958,0.003395261066169377,0.05487699747932602,17,0.025897658542327943
-280,0.11671497483547469,0.0033184174428077104,0.007962144892707279,18,0.026895507495906468
-260,0.11368031377840429,0.00326761146477542,0.007812783622452553,18,0.02738200170729395
-240,0.11535161142171298,0.003257919870793573,0.008458323746401333,18,0.027679353182554593
-220,0.11627181530315925,0.0032499455466970936,0.013364379777056082,19,0.02794752540093699
-200,0.11428528000769449,0.0033655558490196273,0.048255426640073575,17,0.028168250102387306
-180,0.1014698937185867,0.0032419265509570604,0.07688669784284653,24,0.03693568264268958
-160,0.11691858569807533,0.004060409432183025,0.20655355582443352,14,0.04163811430848469
-140,0.13582667472467566,0.0034350925379070724,0.00999253753750464,21,0.04304120070253975
-120,0.1324647336366407,0.003258425137837978,0.011306856346432666,21,0.04504667164571974
-100,0.1290013043419012,0.003310301298178833,0.011392913779745655,21,0.04547367750550248
-80,0.12996009504508652,0.0033578829576602735,0.01171028927257518,21,0.045840164394399474
-60,0.1297848040764817,0.003300931555271963,0.014541581248022638,21,0.04720906509738006
-40,0.12781627091666722,0.0033451305642192225,0.014075783825341127,21,0.04755785767595583
-20,0.1277191790746,0.0033487622620617706,0.015075841618344642,21,0.04783365425259913
-1,0.1276176487022636,0.00344833756774897,0.00498478367367081,18,0.0485948509512757
