,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2025-07-09,1.209,1.209,-0.11,开放申购,开放赎回,
1,2025-07-08,1.2103,1.2103,0.61,开放申购,开放赎回,
2,2025-07-07,1.203,1.203,0.02,开放申购,开放赎回,
3,2025-07-04,1.2028,1.2028,0.35,开放申购,开放赎回,
4,2025-07-03,1.1986,1.1986,0.25,开放申购,开放赎回,
5,2025-07-02,1.1956,1.1956,-0.18,开放申购,开放赎回,
6,2025-07-01,1.1977,1.1977,0.41,开放申购,开放赎回,
7,2025-06-30,1.1928,1.1928,0.56,开放申购,开放赎回,
8,2025-06-27,1.1861,1.1861,-0.68,开放申购,开放赎回,
9,2025-06-26,1.1942,1.1942,-0.08,开放申购,开放赎回,
10,2025-06-25,1.1952,1.1952,0.98,开放申购,开放赎回,
11,2025-06-24,1.1836,1.1836,1.1,开放申购,开放赎回,
12,2025-06-23,1.1707,1.1707,0.76,开放申购,开放赎回,
13,2025-06-20,1.1619,1.1619,0.08,开放申购,开放赎回,
14,2025-06-19,1.161,1.161,-0.78,开放申购,开放赎回,
15,2025-06-18,1.1701,1.1701,0.04,开放申购,开放赎回,
16,2025-06-17,1.1696,1.1696,-0.2,开放申购,开放赎回,
17,2025-06-16,1.172,1.172,0.42,开放申购,开放赎回,
18,2025-06-13,1.1671,1.1671,-0.66,开放申购,开放赎回,
19,2025-06-12,1.1748,1.1748,0.13,开放申购,开放赎回,
20,2025-06-11,1.1733,1.1733,0.58,开放申购,开放赎回,
21,2025-06-10,1.1665,1.1665,-0.34,开放申购,开放赎回,
22,2025-06-09,1.1705,1.1705,0.41,开放申购,开放赎回,
23,2025-06-06,1.1657,1.1657,0.11,开放申购,开放赎回,
24,2025-06-05,1.1644,1.1644,0.19,开放申购,开放赎回,
25,2025-06-04,1.1622,1.1622,0.39,开放申购,开放赎回,
26,2025-06-03,1.1577,1.1577,0.46,开放申购,开放赎回,
27,2025-05-30,1.1524,1.1524,-0.41,开放申购,开放赎回,
28,2025-05-29,1.1572,1.1572,0.83,开放申购,开放赎回,
29,2025-05-28,1.1477,1.1477,0.01,开放申购,开放赎回,
30,2025-05-27,1.1476,1.1476,-0.13,开放申购,开放赎回,
31,2025-05-26,1.1491,1.1491,-0.1,开放申购,开放赎回,
32,2025-05-23,1.1503,1.1503,-0.9,开放申购,开放赎回,
33,2025-05-22,1.1608,1.1608,-0.09,开放申购,开放赎回,
34,2025-05-21,1.1618,1.1618,0.24,开放申购,开放赎回,
35,2025-05-20,1.159,1.159,0.42,开放申购,开放赎回,
36,2025-05-19,1.1542,1.1542,0.01,开放申购,开放赎回,
37,2025-05-16,1.1541,1.1541,-0.34,开放申购,开放赎回,
38,2025-05-15,1.158,1.158,-0.54,开放申购,开放赎回,
39,2025-05-14,1.1643,1.1643,0.95,开放申购,开放赎回,
40,2025-05-13,1.1534,1.1534,0.09,开放申购,开放赎回,
41,2025-05-12,1.1524,1.1524,0.72,开放申购,开放赎回,
42,2025-05-09,1.1442,1.1442,-0.29,开放申购,开放赎回,
43,2025-05-08,1.1475,1.1475,0.33,开放申购,开放赎回,
44,2025-05-07,1.1437,1.1437,0.78,开放申购,开放赎回,
45,2025-05-06,1.1348,1.1348,1.01,开放申购,开放赎回,
46,2025-04-30,1.1234,1.1234,-0.25,开放申购,开放赎回,
47,2025-04-29,1.1262,1.1262,-0.04,开放申购,开放赎回,
48,2025-04-28,1.1267,1.1267,-0.18,开放申购,开放赎回,
49,2025-04-25,1.1287,1.1287,-0.06,开放申购,开放赎回,
50,2025-04-24,1.1294,1.1294,0.09,开放申购,开放赎回,
51,2025-04-23,1.1284,1.1284,-0.14,开放申购,开放赎回,
52,2025-04-22,1.13,1.13,0.24,开放申购,开放赎回,
53,2025-04-21,1.1273,1.1273,0.45,开放申购,开放赎回,
54,2025-04-18,1.1222,1.1222,0.04,开放申购,开放赎回,
55,2025-04-17,1.1217,1.1217,0.09,开放申购,开放赎回,
56,2025-04-16,1.1207,1.1207,0.23,开放申购,开放赎回,
57,2025-04-15,1.1181,1.1181,0.16,开放申购,开放赎回,
58,2025-04-14,1.1163,1.1163,0.77,开放申购,开放赎回,
59,2025-04-11,1.1078,1.1078,0.38,开放申购,开放赎回,
60,2025-04-10,1.1036,1.1036,0.95,开放申购,开放赎回,
61,2025-04-09,1.0932,1.0932,1.16,开放申购,开放赎回,
62,2025-04-08,1.0807,1.0807,1.3,开放申购,开放赎回,
63,2025-04-07,1.0668,1.0668,-6.87,开放申购,开放赎回,
64,2025-04-03,1.1455,1.1455,-0.19,开放申购,开放赎回,
65,2025-04-02,1.1477,1.1477,0.08,开放申购,开放赎回,
66,2025-04-01,1.1468,1.1468,0.41,开放申购,开放赎回,
67,2025-03-31,1.1421,1.1421,-0.58,开放申购,开放赎回,
