end_day,alpha,beta,gamma,season,rss
-600,0.07892729157506888,0.002964869810503671,0.06919799261871282,22,0.05297050405976749
-580,0.07773336553696375,0.0030492974265458194,0.07278954522347668,22,0.0558091363023782
-560,0.13172423142083486,0.0044354677564528095,0.04466514672587428,10,0.06628629444461029
-540,0.08472908555647458,0.003554509235994864,0.07505028076097102,22,0.07934613660777273
-520,0.07489475238329317,0.004834531188677903,0.26449421750751645,15,0.09031677694684094
-500,0.0876019021401942,0.005298747830649324,0.03976381403534727,10,0.10009303731383781
-480,0.09175450808824709,0.004924880597846492,0.03467633078047057,11,0.10532875283201032
-460,0.09301268741135739,0.004045127253447756,0.07231264066254957,15,0.11501025565098626
-440,0.09886418201945803,0.003873978474073786,0.07919356905423468,15,0.11865549384075719
-420,0.09387203484142113,0.0037654055409021415,0.18794245986174393,16,0.12496876478762595
-400,0.09007663413155069,0.003921753238093663,0.22313228756311884,16,0.13187943191067109
-380,0.0917341532224932,0.003895706338925316,0.21367572169969956,16,0.1343006982905089
-360,0.0941592122946915,0.0037517488702973737,0.1945300534951545,16,0.14160606283154248
-340,0.09890744767303988,0.00410107843672391,0.11575303631309965,14,0.15936799891038367
-320,0.0870598130872793,0.004217949259160087,0.10658108820169027,14,0.16993772812133934
-300,0.08604111976954212,0.0042723599880598795,0.10552886349691676,14,0.17384285862560656
-280,0.08649316118630548,0.00431597207616139,0.11169215325438296,14,0.17873139232434765
-260,0.08732739302682738,0.004416515271031745,0.11570010936372405,14,0.18713351867919642
-240,0.09071133416555634,0.004376430043529806,0.1178664157842934,14,0.19142963979375208
-220,0.08744071225569236,0.00424161280242948,0.11733835292373453,14,0.20203331242723727
-200,0.09196557018111247,0.004045093991907786,0.11645047634493695,14,0.20579967690101852
-180,0.08157124819351595,0.0044307580370206,0.09781713996724513,14,0.2762162138955007
-160,0.09220663813400287,0.004242334887773258,0.09305619937525235,14,0.28412651699393277
-140,0.09081042247051821,0.004851357492468064,0.04534681038212879,10,0.29669168600072915
-120,0.08686977234385278,0.005451694578838739,0.07981227589682162,8,0.30696001906513803
-100,0.0858209913482464,0.005624292821249347,0.08291969617174075,8,0.3170342515226391
-80,0.09051158557061588,0.004270756456627925,0.08290294463233681,14,0.32540168130438896
-60,0.0952947189871471,0.0037471930359074543,0.08389777253020485,14,0.3716906280434889
-40,0.0933046354178804,0.0038146547480861766,0.08221589144586398,14,0.3747886744424453
-20,0.09348436993381361,0.003812324371009455,0.084606121759943,14,0.38346193166335313
-1,0.09372648987833954,0.0038050591177611953,0.08599178550642304,14,0.3886713303304603
