end_day,alpha,beta,gamma,season,rss
-600,0.13267403670941635,0.03399757352411514,0.8458091242640658,16,0.12166232412310836
-580,0.15759575746352172,0.026493809070297393,0.6724467851380124,16,0.13029978526759292
-560,0.16549765840736988,0.025573059078313996,0.6152976006507163,16,0.1362084590325216
-540,0.15426668463482734,0.0267580364123671,0.6186242301015061,16,0.1437753369167707
-520,0.15686974093864794,0.012091219483617383,0.2841043587061633,24,0.14853206678003247
-500,0.15568777093823755,0.02549124483514198,0.5600454352517956,16,0.1533106798054245
-480,0.14859011920650697,0.026776095295452624,0.579770593397945,16,0.15829774302227048
-460,0.1518316058340471,0.025868868005062422,0.52636148298705,16,0.1670669816332107
-440,0.15091868035622558,0.026267231535703643,0.5387232579994053,16,0.16873233912235125
-420,0.1480222567038394,0.02670109798584931,0.5332729402100269,16,0.1708136518800607
-400,0.14283001191887484,0.026164428147481343,0.567189354941737,16,0.17894347103987085
-380,0.13704241275435727,0.026456841802322446,0.5331530619225596,16,0.18585925422301677
-360,0.13802579533554624,0.02711033055001065,0.5197667624660008,16,0.1892847493970999
-340,0.13579191628013534,0.02562063741913392,0.5257892361689988,16,0.19871830909454627
-320,0.13933309069503214,0.024118697952297548,0.5190575024629047,16,0.2039061946944577
-300,0.1392893326914321,0.02418747844747705,0.5106018130789889,16,0.20467106251249473
-280,0.1342834933542202,0.026063461557705867,0.4963504170676314,16,0.2211761438330237
-260,0.13683114966020468,0.011823269879324213,0.25279841652108237,24,0.22745272141557768
-240,0.13819110290862566,0.011588197897197039,0.2521959798866615,24,0.22998456116065885
-220,0.12718787161214248,0.024017648703656323,0.5102773930087198,16,0.23323989983731067
-200,0.1272548810562985,0.023634681797321193,0.5086867072972284,16,0.23442967188571479
-180,0.12553318482823078,0.023489373958451243,0.5099730175463453,16,0.27189270124856363
-160,0.12488388639642478,0.022294956144082813,0.5120688320204324,16,0.275975011485186
-140,0.11969595643140941,0.02245760613920872,0.5395690382812962,16,0.278957838718248
-120,0.11856150644228854,0.022270119663460906,0.5561084873546319,16,0.2840668504038552
-100,0.11048349515340235,0.021450688496110835,0.5486405355594178,16,0.32383460192077745
-80,0.11831428308665329,0.01142180777042981,0.22416181230772633,24,0.33972505951196963
-60,0.1149088807885504,0.009738769022046333,0.2245147533168154,24,0.3800882979822359
-40,0.10724412308422504,0.01045775178357619,0.22669442156684294,24,0.38789896844401767
-20,0.1076285259352691,0.010464218522592545,0.2289174816681787,24,0.3901016346382714
-1,0.10817336063348576,0.010432988102145975,0.22973476239747329,24,0.3917718867423962
