净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2025-07-08,2.1481,2.1481,0.36%,开放申购,开放赎回,
2025-07-07,2.1404,2.1404,-0.53%,开放申购,开放赎回,
2025-07-04,2.1519,2.1519,0.16%,开放申购,开放赎回,
2025-07-03,2.1484,2.1484,0.30%,开放申购,开放赎回,
2025-07-02,2.1420,2.1420,0.02%,开放申购,开放赎回,
2025-07-01,2.1415,2.1415,0.09%,开放申购,开放赎回,
2025-06-30,2.1395,2.1395,0.26%,开放申购,开放赎回,
2025-06-27,2.1340,2.1340,-0.52%,开放申购,开放赎回,
2025-06-26,2.1452,2.1452,-0.08%,开放申购,开放赎回,
2025-06-25,2.1470,2.1470,0.37%,开放申购,开放赎回,
2025-06-24,2.1391,2.1391,0.80%,开放申购,开放赎回,
2025-06-23,2.1222,2.1222,-0.88%,开放申购,开放赎回,
2025-06-20,2.1410,2.1410,0.71%,开放申购,开放赎回,
2025-06-19,2.1259,2.1259,-0.71%,开放申购,开放赎回,
2025-06-18,2.1410,2.1410,0.08%,开放申购,开放赎回,
2025-06-17,2.1392,2.1392,-0.18%,开放申购,开放赎回,
2025-06-16,2.1430,2.1430,-0.46%,开放申购,开放赎回,
2025-06-13,2.1528,2.1528,-1.72%,开放申购,开放赎回,
2025-06-12,2.1904,2.1904,-1.09%,开放申购,开放赎回,
2025-06-11,2.2146,2.2146,0.74%,开放申购,开放赎回,
2025-06-10,2.1983,2.1983,-0.65%,开放申购,开放赎回,
2025-06-09,2.2126,2.2126,0.25%,开放申购,开放赎回,
2025-06-06,2.2070,2.2070,0.10%,开放申购,开放赎回,
2025-06-05,2.2048,2.2048,-0.68%,开放申购,开放赎回,
2025-06-04,2.2200,2.2200,0.26%,开放申购,开放赎回,
2025-06-03,2.2142,2.2142,0.49%,开放申购,开放赎回,
2025-05-30,2.2033,2.2033,-0.08%,开放申购,开放赎回,
2025-05-29,2.2051,2.2051,-0.05%,开放申购,开放赎回,
2025-05-28,2.2061,2.2061,0.45%,开放申购,开放赎回,
2025-05-27,2.1962,2.1962,-0.02%,开放申购,开放赎回,
2025-05-26,2.1967,2.1967,-0.27%,开放申购,开放赎回,
2025-05-23,2.2027,2.2027,-0.56%,开放申购,开放赎回,
2025-05-22,2.2151,2.2151,-0.18%,开放申购,开放赎回,
2025-05-21,2.2190,2.2190,0.05%,开放申购,开放赎回,
2025-05-20,2.2180,2.2180,0.69%,开放申购,开放赎回,
2025-05-19,2.2027,2.2027,-0.52%,开放申购,开放赎回,
2025-05-16,2.2142,2.2142,-0.96%,开放申购,开放赎回,
2025-05-15,2.2356,2.2356,-0.30%,开放申购,开放赎回,
2025-05-14,2.2423,2.2423,1.26%,开放申购,开放赎回,
2025-05-13,2.2143,2.2143,-0.07%,开放申购,开放赎回,
2025-05-12,2.2158,2.2158,0.08%,开放申购,开放赎回,
2025-05-09,2.2141,2.2141,0.07%,开放申购,开放赎回,
2025-05-08,2.2126,2.2126,0.17%,开放申购,开放赎回,
2025-05-07,2.2088,2.2088,0.22%,开放申购,开放赎回,
2025-05-06,2.2039,2.2039,0.09%,开放申购,开放赎回,
2025-04-30,2.2020,2.2020,0.29%,开放申购,开放赎回,
2025-04-29,2.1956,2.1956,-0.29%,开放申购,开放赎回,
2025-04-28,2.2020,2.2020,-0.09%,开放申购,开放赎回,
2025-04-25,2.2039,2.2039,-0.49%,开放申购,开放赎回,
2025-04-24,2.2148,2.2148,0.07%,开放申购,开放赎回,
2025-04-23,2.2133,2.2133,-0.64%,开放申购,开放赎回,
2025-04-22,2.2276,2.2276,0.21%,开放申购,开放赎回,
2025-04-21,2.2230,2.2230,-0.53%,开放申购,开放赎回,
2025-04-18,2.2348,2.2348,-0.95%,开放申购,开放赎回,
2025-04-17,2.2562,2.2562,0.49%,开放申购,开放赎回,
2025-04-16,2.2453,2.2453,0.46%,开放申购,开放赎回,
2025-04-15,2.2351,2.2351,0.22%,开放申购,开放赎回,
2025-04-14,2.2303,2.2303,-0.35%,开放申购,开放赎回,
2025-04-11,2.2382,2.2382,-1.28%,开放申购,开放赎回,
2025-04-10,2.2672,2.2672,0.11%,开放申购,开放赎回,
2025-04-09,2.2648,2.2648,1.53%,开放申购,开放赎回,
2025-04-08,2.2306,2.2306,3.76%,开放申购,开放赎回,
2025-04-07,2.1497,2.1497,-3.22%,开放申购,开放赎回,
2025-04-03,2.2213,2.2213,1.14%,开放申购,开放赎回,
2025-04-02,2.1962,2.1962,-0.22%,开放申购,开放赎回,
2025-04-01,2.2011,2.2011,0.52%,开放申购,开放赎回,
2025-03-31,2.1897,2.1897,-0.88%,开放申购,开放赎回,
2025-03-28,2.2092,2.2092,-0.67%,开放申购,开放赎回,
2025-03-27,2.2242,2.2242,0.80%,开放申购,开放赎回,
2025-03-26,2.2065,2.2065,0.28%,开放申购,开放赎回,
2025-03-25,2.2004,2.2004,0.13%,开放申购,开放赎回,
2025-03-24,2.1976,2.1976,0.23%,开放申购,开放赎回,
2025-03-21,2.1926,2.1926,-1.03%,开放申购,开放赎回,
2025-03-20,2.2154,2.2154,-1.25%,开放申购,开放赎回,
2025-03-19,2.2434,2.2434,-0.42%,开放申购,开放赎回,
2025-03-18,2.2528,2.2528,-0.74%,开放申购,开放赎回,
2025-03-17,2.2696,2.2696,0.04%,开放申购,开放赎回,
2025-03-14,2.2687,2.2687,3.68%,开放申购,开放赎回,
2025-03-13,2.1881,2.1881,-0.01%,开放申购,开放赎回,
2025-03-12,2.1884,2.1884,-0.99%,开放申购,开放赎回,
2025-03-11,2.2103,2.2103,2.05%,开放申购,开放赎回,
2025-03-10,2.1658,2.1658,-0.19%,开放申购,开放赎回,
2025-03-07,2.1699,2.1699,0.80%,开放申购,开放赎回,
2025-03-06,2.1526,2.1526,1.23%,开放申购,开放赎回,
2025-03-05,2.1265,2.1265,-0.32%,开放申购,开放赎回,
2025-03-04,2.1333,2.1333,-0.36%,开放申购,开放赎回,
2025-03-03,2.1410,2.1410,-0.32%,开放申购,开放赎回,
2025-02-28,2.1479,2.1479,-0.13%,开放申购,开放赎回,
2025-02-27,2.1507,2.1507,1.65%,开放申购,开放赎回,
2025-02-26,2.1157,2.1157,0.83%,开放申购,开放赎回,
2025-02-25,2.0983,2.0983,-1.57%,开放申购,开放赎回,
2025-02-24,2.1318,2.1318,0.60%,开放申购,开放赎回,
2025-02-21,2.1190,2.1190,0.19%,开放申购,开放赎回,
2025-02-20,2.1149,2.1149,-0.25%,开放申购,开放赎回,
2025-02-19,2.1203,2.1203,0.78%,开放申购,开放赎回,
2025-02-18,2.1039,2.1039,-0.95%,开放申购,开放赎回,
2025-02-17,2.1241,2.1241,0.08%,开放申购,开放赎回,
2025-02-14,2.1224,2.1224,-0.07%,开放申购,开放赎回,
