净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2025-07-08,0.8755,0.8755,1.55%,开放申购,开放赎回,
2025-07-07,0.8621,0.8621,0.22%,开放申购,开放赎回,
2025-07-04,0.8602,0.8602,0.86%,开放申购,开放赎回,
2025-07-03,0.8529,0.8529,0.13%,开放申购,开放赎回,
2025-07-02,0.8518,0.8518,-1.00%,开放申购,开放赎回,
2025-07-01,0.8604,0.8604,-0.45%,开放申购,开放赎回,
2025-06-30,0.8643,0.8643,2.69%,开放申购,开放赎回,
2025-06-27,0.8417,0.8417,-0.30%,开放申购,开放赎回,
2025-06-26,0.8442,0.8442,-0.01%,开放申购,开放赎回,
2025-06-25,0.8443,0.8443,0.97%,开放申购,开放赎回,
2025-06-24,0.8362,0.8362,1.72%,开放申购,开放赎回,
2025-06-23,0.8221,0.8221,0.43%,开放申购,开放赎回,
2025-06-20,0.8186,0.8186,-1.46%,开放申购,开放赎回,
2025-06-19,0.8307,0.8307,-0.60%,开放申购,开放赎回,
2025-06-18,0.8357,0.8357,-0.89%,开放申购,开放赎回,
2025-06-17,0.8432,0.8432,-1.03%,开放申购,开放赎回,
2025-06-16,0.8520,0.8520,2.35%,开放申购,开放赎回,
2025-06-13,0.8324,0.8324,-2.02%,开放申购,开放赎回,
2025-06-12,0.8496,0.8496,1.18%,开放申购,开放赎回,
2025-06-11,0.8397,0.8397,1.06%,开放申购,开放赎回,
2025-06-10,0.8309,0.8309,-0.41%,开放申购,开放赎回,
2025-06-09,0.8343,0.8343,0.80%,开放申购,开放赎回,
2025-06-06,0.8277,0.8277,-0.60%,开放申购,开放赎回,
2025-06-05,0.8327,0.8327,1.23%,开放申购,开放赎回,
2025-06-04,0.8226,0.8226,0.43%,开放申购,开放赎回,
2025-06-03,0.8191,0.8191,1.46%,开放申购,开放赎回,
2025-05-30,0.8073,0.8073,-1.09%,开放申购,开放赎回,
2025-05-29,0.8162,0.8162,1.33%,开放申购,开放赎回,
2025-05-28,0.8055,0.8055,0.16%,开放申购,开放赎回,
2025-05-27,0.8042,0.8042,-0.86%,开放申购,开放赎回,
2025-05-26,0.8112,0.8112,1.59%,开放申购,开放赎回,
2025-05-23,0.7985,0.7985,-1.64%,开放申购,开放赎回,
2025-05-22,0.8118,0.8118,0.40%,开放申购,开放赎回,
2025-05-21,0.8086,0.8086,-0.58%,开放申购,开放赎回,
2025-05-20,0.8133,0.8133,1.32%,开放申购,开放赎回,
2025-05-19,0.8027,0.8027,0.07%,开放申购,开放赎回,
2025-05-16,0.8021,0.8021,0.02%,开放申购,开放赎回,
2025-05-15,0.8019,0.8019,-2.18%,开放申购,开放赎回,
2025-05-14,0.8198,0.8198,0.49%,开放申购,开放赎回,
2025-05-13,0.8158,0.8158,-0.29%,开放申购,开放赎回,
2025-05-12,0.8182,0.8182,0.83%,开放申购,开放赎回,
2025-05-09,0.8115,0.8115,-1.78%,开放申购,开放赎回,
2025-05-08,0.8262,0.8262,0.49%,开放申购,开放赎回,
2025-05-07,0.8222,0.8222,-0.59%,开放申购,开放赎回,
2025-05-06,0.8271,0.8271,2.77%,开放申购,开放赎回,
2025-04-30,0.8048,0.8048,1.05%,开放申购,开放赎回,
2025-04-29,0.7964,0.7964,1.17%,开放申购,开放赎回,
2025-04-28,0.7872,0.7872,0.01%,开放申购,开放赎回,
2025-04-25,0.7871,0.7871,0.32%,开放申购,开放赎回,
2025-04-24,0.7846,0.7846,-1.56%,开放申购,开放赎回,
2025-04-23,0.7970,0.7970,-0.23%,开放申购,开放赎回,
2025-04-22,0.7988,0.7988,-1.04%,开放申购,开放赎回,
2025-04-21,0.8072,0.8072,2.10%,开放申购,开放赎回,
2025-04-18,0.7906,0.7906,0.74%,开放申购,开放赎回,
2025-04-17,0.7848,0.7848,-0.27%,开放申购,开放赎回,
2025-04-16,0.7869,0.7869,-0.51%,开放申购,开放赎回,
2025-04-15,0.7909,0.7909,0.41%,开放申购,开放赎回,
2025-04-14,0.7877,0.7877,1.26%,开放申购,开放赎回,
2025-04-11,0.7779,0.7779,-0.56%,开放申购,开放赎回,
2025-04-10,0.7823,0.7823,2.70%,开放申购,开放赎回,
2025-04-09,0.7617,0.7617,2.50%,开放申购,开放赎回,
2025-04-08,0.7431,0.7431,0.87%,开放申购,开放赎回,
2025-04-07,0.7367,0.7367,-10.78%,开放申购,开放赎回,
2025-04-03,0.8257,0.8257,0.12%,开放申购,开放赎回,
2025-04-02,0.8247,0.8247,0.41%,开放申购,开放赎回,
2025-04-01,0.8213,0.8213,-0.23%,开放申购,开放赎回,
2025-03-31,0.8232,0.8232,-1.14%,开放申购,开放赎回,
2025-03-28,0.8327,0.8327,0.40%,开放申购,开放赎回,
2025-03-27,0.8294,0.8294,-0.13%,开放申购,开放赎回,
2025-03-26,0.8305,0.8305,0.02%,开放申购,开放赎回,
2025-03-25,0.8303,0.8303,-1.65%,开放申购,开放赎回,
2025-03-24,0.8442,0.8442,-0.12%,开放申购,开放赎回,
2025-03-21,0.8452,0.8452,-1.76%,开放申购,开放赎回,
2025-03-20,0.8603,0.8603,-1.13%,开放申购,开放赎回,
2025-03-19,0.8701,0.8701,-1.34%,开放申购,开放赎回,
2025-03-18,0.8819,0.8819,0.34%,开放申购,开放赎回,
2025-03-17,0.8789,0.8789,-0.34%,开放申购,开放赎回,
2025-03-14,0.8819,0.8819,2.08%,开放申购,开放赎回,
2025-03-13,0.8639,0.8639,-1.81%,开放申购,开放赎回,
2025-03-12,0.8798,0.8798,1.17%,开放申购,开放赎回,
2025-03-11,0.8696,0.8696,0.71%,开放申购,开放赎回,
2025-03-10,0.8635,0.8635,-1.31%,开放申购,开放赎回,
2025-03-07,0.8750,0.8750,-0.79%,开放申购,开放赎回,
2025-03-06,0.8820,0.8820,4.24%,开放申购,开放赎回,
2025-03-05,0.8461,0.8461,0.95%,开放申购,开放赎回,
2025-03-04,0.8381,0.8381,0.56%,开放申购,开放赎回,
2025-03-03,0.8334,0.8334,1.21%,开放申购,开放赎回,
2025-02-28,0.8234,0.8234,-3.86%,开放申购,开放赎回,
2025-02-27,0.8565,0.8565,-0.86%,开放申购,开放赎回,
2025-02-26,0.8639,0.8639,0.12%,开放申购,开放赎回,
2025-02-25,0.8629,0.8629,-2.73%,开放申购,开放赎回,
2025-02-24,0.8871,0.8871,-0.90%,开放申购,开放赎回,
2025-02-21,0.8952,0.8952,2.74%,开放申购,开放赎回,
2025-02-20,0.8713,0.8713,-1.02%,开放申购,开放赎回,
2025-02-19,0.8803,0.8803,1.28%,开放申购,开放赎回,
2025-02-18,0.8692,0.8692,-4.04%,开放申购,开放赎回,
2025-02-17,0.9058,0.9058,-1.30%,开放申购,开放赎回,
2025-02-14,0.9177,0.9177,1.67%,开放申购,开放赎回,
2025-02-13,0.9026,0.9026,1.20%,开放申购,开放赎回,
2025-02-12,0.8919,0.8919,2.25%,开放申购,开放赎回,
2025-02-11,0.8723,0.8723,0.96%,开放申购,开放赎回,
2025-02-10,0.8640,0.8640,3.19%,开放申购,开放赎回,
2025-02-07,0.8373,0.8373,0.87%,开放申购,开放赎回,
2025-02-06,0.8301,0.8301,2.34%,开放申购,开放赎回,
2025-02-05,0.8111,0.8111,4.12%,开放申购,开放赎回,
2025-01-27,0.7790,0.7790,0.13%,开放申购,开放赎回,
2025-01-24,0.7780,0.7780,1.95%,开放申购,开放赎回,
2025-01-23,0.7631,0.7631,0.51%,开放申购,开放赎回,
2025-01-22,0.7592,0.7592,-1.07%,开放申购,开放赎回,
2025-01-21,0.7674,0.7674,0.21%,开放申购,开放赎回,
2025-01-20,0.7658,0.7658,0.34%,开放申购,开放赎回,
2025-01-17,0.7632,0.7632,-0.88%,开放申购,开放赎回,
2025-01-16,0.7700,0.7700,0.25%,开放申购,开放赎回,
2025-01-15,0.7681,0.7681,0.77%,开放申购,开放赎回,
2025-01-14,0.7622,0.7622,4.90%,开放申购,开放赎回,
2025-01-13,0.7266,0.7266,-0.41%,开放申购,开放赎回,
2025-01-10,0.7296,0.7296,-2.39%,开放申购,开放赎回,
2025-01-09,0.7475,0.7475,0.23%,开放申购,开放赎回,
2025-01-08,0.7458,0.7458,0.40%,开放申购,开放赎回,
