end_day,alpha,beta,gamma,season,rss
-600,0.06662783129839048,0.006756580727569706,0.49672660954580117,15,0.10203289326962911
-580,0.07006204581082962,0.006113551286217745,0.5097720645285035,15,0.10608121754269433
-560,0.06677541757413932,0.006606716470072663,0.48763975518597497,15,0.11421398421786935
-540,0.07106072040967724,0.00664961786393163,0.47086183450273317,15,0.12086222490807487
-520,0.0740480583278385,0.006993374401615213,0.4792370606742856,15,0.12793723163382556
-500,0.0720822774867872,0.007019174103375246,0.4871206057125224,15,0.12973936890219945
-480,0.07409936750180844,0.006435426111209889,0.45766497210727064,15,0.13845970936301083
-460,0.06912341500829829,0.006447498410466783,0.4907271728819061,15,0.14617657391348443
-440,0.06714307967419246,0.006585968101832042,0.5120118717169821,15,0.14933834876498128
-420,0.06813263529428493,0.006729208570364303,0.503551920038357,15,0.15462129548250128
-400,0.06875882878158922,0.006725346930182272,0.5011309670213039,15,0.15547349111882058
-380,0.06887628890139143,0.007016016255036537,0.5005809249058072,15,0.15867113519353865
-360,0.06926098491475312,0.006977823999906803,0.4927867647962435,15,0.1595024341379176
-340,0.0691145469795236,0.007001406343344026,0.4966260088231979,15,0.1644993923431602
-320,0.07033611057459356,0.00663673775815531,0.4787059968884164,15,0.16723137910612595
-300,0.07160049082325652,0.006594136067111088,0.4629530828771726,15,0.16866522018449076
-280,0.06994908505812521,0.006339065484719252,0.47576445629975206,15,0.1781989328347564
-260,0.08017754143338776,0.00578809975902932,0.3656399902736265,16,0.1836669588611669
-240,0.08105092012801833,0.005776789517408798,0.3630564892594609,16,0.18436760183507664
-220,0.08132568776838915,0.005797228072778238,0.3619761430744245,16,0.1848558632000158
-200,0.08188741641233777,0.005854271093966333,0.35824829784907875,16,0.1867297507817757
-180,0.07808515488601751,0.0053589473687189705,0.3543721476579996,16,0.23350095240024382
-160,0.08948042406818003,0.004935463464797927,0.3466238790021637,16,0.24406092654502343
-140,0.08771711440640194,0.005051502945150948,0.3612440172479207,16,0.2460702154001495
-120,0.07124150091590047,0.005635264338402078,0.48299816404032775,15,0.25214886451802576
-100,0.07117426511547867,0.005651404381554734,0.48039339901401706,15,0.25280907587586454
-80,0.07085142841560746,0.005709427561526132,0.48314527817457364,15,0.2553535641000775
-60,0.07106188916611218,0.0056808134491016455,0.4794023421149786,15,0.2567767161965838
-40,0.07156246676753038,0.0056416981603543154,0.47568724719412103,15,0.2572249896815662
-20,0.07200108764172405,0.0056034386679731825,0.47237569889084924,15,0.2577486812405437
-1,0.07264004812210773,0.005589995216351621,0.46708897385905973,15,0.25909196119246863
