净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2025-07-08,0.8530,0.8530,-0.35%,开放申购,开放赎回,
2025-07-07,0.8560,0.8560,,开放申购,开放赎回,
2025-07-03,0.8550,0.8550,-0.35%,开放申购,开放赎回,
2025-07-02,0.8580,0.8580,,开放申购,开放赎回,
2025-06-30,0.8470,0.8470,0.59%,开放申购,开放赎回,
2025-06-27,0.8420,0.8420,-0.94%,开放申购,开放赎回,
2025-06-26,0.8500,0.8500,-0.12%,开放申购,开放赎回,
2025-06-25,0.8510,0.8510,0.12%,开放申购,开放赎回,
2025-06-24,0.8500,0.8500,-1.85%,开放申购,开放赎回,
2025-06-23,0.8660,0.8660,-0.23%,开放申购,开放赎回,
2025-06-20,0.8680,0.8680,,开放申购,开放赎回,
2025-06-18,0.8670,0.8670,-0.34%,开放申购,开放赎回,
2025-06-17,0.8700,0.8700,0.93%,开放申购,开放赎回,
2025-06-16,0.8620,0.8620,-1.26%,开放申购,开放赎回,
2025-06-13,0.8730,0.8730,1.87%,开放申购,开放赎回,
2025-06-12,0.8570,0.8570,0.94%,开放申购,开放赎回,
2025-06-11,0.8490,0.8490,0.71%,开放申购,开放赎回,
2025-06-10,0.8430,0.8430,0.12%,开放申购,开放赎回,
2025-06-09,0.8420,0.8420,0.48%,开放申购,开放赎回,
2025-06-06,0.8380,0.8380,-0.71%,开放申购,开放赎回,
2025-06-05,0.8440,0.8440,0.00%,开放申购,开放赎回,
2025-06-04,0.8440,0.8440,0.12%,开放申购,开放赎回,
2025-06-03,0.8430,0.8430,2.18%,开放申购,开放赎回,
2025-05-30,0.8250,0.8250,-0.72%,开放申购,开放赎回,
2025-05-29,0.8310,0.8310,0.12%,开放申购,开放赎回,
2025-05-28,0.8300,0.8300,0.12%,开放申购,开放赎回,
2025-05-27,0.8290,0.8290,,开放申购,开放赎回,
2025-05-23,0.8420,0.8420,1.69%,开放申购,开放赎回,
2025-05-22,0.8280,0.8280,-0.84%,开放申购,开放赎回,
2025-05-21,0.8350,0.8350,0.36%,开放申购,开放赎回,
2025-05-20,0.8320,0.8320,1.34%,开放申购,开放赎回,
2025-05-19,0.8210,0.8210,0.86%,开放申购,开放赎回,
2025-05-16,0.8140,0.8140,-0.73%,开放申购,开放赎回,
2025-05-15,0.8200,0.8200,0.61%,开放申购,开放赎回,
2025-05-14,0.8150,0.8150,-1.57%,开放申购,开放赎回,
2025-05-13,0.8280,0.8280,0.61%,开放申购,开放赎回,
