净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2025-07-08,0.9424,0.9424,0.86%,开放申购,开放赎回,
2025-07-07,0.9344,0.9344,-0.06%,开放申购,开放赎回,
2025-07-04,0.9350,0.9350,-0.10%,开放申购,开放赎回,
2025-07-03,0.9359,0.9359,-0.01%,开放申购,开放赎回,
2025-07-02,0.9360,0.9360,-1.78%,开放申购,开放赎回,
2025-07-01,0.9530,0.9530,-0.67%,开放申购,开放赎回,
2025-06-30,0.9594,0.9594,4.09%,开放申购,开放赎回,
2025-06-27,0.9217,0.9217,0.77%,开放申购,开放赎回,
2025-06-26,0.9147,0.9147,-0.17%,开放申购,开放赎回,
2025-06-25,0.9163,0.9163,3.02%,开放申购,开放赎回,
2025-06-24,0.8894,0.8894,0.43%,开放申购,开放赎回,
2025-06-23,0.8856,0.8856,1.29%,开放申购,开放赎回,
2025-06-20,0.8743,0.8743,-1.33%,开放申购,开放赎回,
2025-06-19,0.8861,0.8861,-1.65%,开放申购,开放赎回,
2025-06-18,0.9010,0.9010,0.50%,开放申购,开放赎回,
2025-06-17,0.8965,0.8965,-0.16%,开放申购,开放赎回,
2025-06-16,0.8979,0.8979,-0.17%,开放申购,开放赎回,
2025-06-13,0.8994,0.8994,1.67%,开放申购,开放赎回,
2025-06-12,0.8846,0.8846,-0.51%,开放申购,开放赎回,
2025-06-11,0.8891,0.8891,0.57%,开放申购,开放赎回,
2025-06-10,0.8841,0.8841,-2.21%,开放申购,开放赎回,
2025-06-09,0.9041,0.9041,1.92%,开放申购,开放赎回,
2025-06-06,0.8871,0.8871,-0.09%,开放申购,开放赎回,
2025-06-05,0.8879,0.8879,0.20%,开放申购,开放赎回,
2025-06-04,0.8861,0.8861,-0.35%,开放申购,开放赎回,
2025-06-03,0.8892,0.8892,0.86%,开放申购,开放赎回,
2025-05-30,0.8816,0.8816,0.55%,开放申购,开放赎回,
2025-05-29,0.8768,0.8768,1.50%,开放申购,开放赎回,
2025-05-28,0.8638,0.8638,-0.67%,开放申购,开放赎回,
2025-05-27,0.8696,0.8696,-0.79%,开放申购,开放赎回,
2025-05-26,0.8765,0.8765,0.87%,开放申购,开放赎回,
2025-05-23,0.8689,0.8689,-1.15%,开放申购,开放赎回,
2025-05-22,0.8790,0.8790,-0.55%,开放申购,开放赎回,
2025-05-21,0.8839,0.8839,0.31%,开放申购,开放赎回,
