end_day,alpha,beta,gamma,season,rss
-600,0.11867174008233557,0.0071951846522698894,0.270805987741916,21,0.12488454515654555
-580,0.11837015593498229,0.007200254076534605,0.258878397577786,21,0.12833826273486315
-560,0.04176708914447878,0.017225450626963117,0.8364340529095108,14,0.1337035321721586
-540,0.12175113678665386,0.0075464222279773095,0.24279966091720098,21,0.13516328970326136
-520,0.12115599907665295,0.0075588201738704145,0.2468352788880794,21,0.1360633708320505
-500,0.0409377916211313,0.017649005135382253,0.8363959549169445,14,0.14298366836083265
-480,0.03775165467997619,0.018489463827466607,0.8508339685546333,14,0.14665281839647765
-460,0.040589818395540364,0.017382204282544333,0.8089366650914553,14,0.14754213651922995
-440,0.04162175868481324,0.016916202622587365,0.7909000283571667,14,0.15036568013879076
-420,0.044707361113679664,0.0160184086022674,0.7507745646176616,14,0.15409545142922607
-400,0.11077682920226907,0.007589011402534939,0.23082013519846492,21,0.1570186069262631
-380,0.10924284516005617,0.007670041862955094,0.22656838203517973,21,0.15871445840143328
-360,0.04887985877365417,0.014787066965421505,0.6838447568456749,14,0.16978187601824402
-340,0.10751018920914607,0.007761316859496403,0.20421209243161476,21,0.18109684550170013
-320,0.10476958548969915,0.00750226195185792,0.19251711550412162,21,0.18767035376221167
-300,0.10504451099712876,0.0074728045720705094,0.17219977532220038,21,0.1904230857962098
-280,0.1039829879117279,0.007426771450530325,0.18117072476532223,21,0.19674799296739706
-260,0.10494110992336822,0.007419943836579848,0.18527160641459844,21,0.19934297714344146
-240,0.10388302226262926,0.007440403458923478,0.18797486234636135,21,0.20128558094452798
-220,0.10258014114752523,0.007447425682297447,0.1780678154934454,21,0.20542805394878963
-200,0.10207930112238252,0.00743760899754347,0.17935117922685628,21,0.20667358125535645
-180,0.05591092554259859,0.012095981041225636,0.49628244095546675,14,0.25004883521432064
-160,0.0756835954173626,0.010099453571928381,0.3736897678309247,14,0.2647610532024206
-140,0.07573323028374081,0.009700961374902067,0.3382605214322715,14,0.27361333682721767
-120,0.07888676092683578,0.009269277815333316,0.331805194951496,14,0.2816165752683222
-100,0.08073113748057377,0.009119689174962564,0.31045952817792305,14,0.28253889408913535
-80,0.08229346777306622,0.009044820684936066,0.29519254642960874,14,0.28845773353316584
-60,0.10451386346065612,0.007076863749070166,0.11596981289651975,20,0.29330335861422385
-40,0.10490372198129332,0.007080468905750637,0.11280835960646808,20,0.2958271790205388
-20,0.08431497299673668,0.008806529710760133,0.2580858051728356,14,0.29707389622025404
-1,0.08331194519436293,0.008894209746103368,0.269446837785005,14,0.29952859476942756
